player,nationality,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position_fw,position_mf,position_df,team_coeff
Brenden Aaronson,us USA,Leeds United,25,2000,10.0,7.0,638.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.9,17.0,20.0,36.0,0.14,0.0,0.14,0.14,0.14,0.23,0.17,0.4,0.23,0.4,Matches,12.0,5.0,41.7,1.69,0.71,0.08,0.2,14.2,0.0,0.14,-0.6,-0.6,144.0,179.0,80.4,2019.0,451.0,81.0,93.0,87.1,56.0,68.0,82.4,1.0,6.0,16.7,1.4,-1.2,10.0,11.0,9.0,4.0,162.0,15.0,2.0,2.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,22.0,3.1,14.0,0.0,2.0,4.0,1.0,1.0,3.0,0.42,1.0,0.0,0.0,2.0,0.0,0.0,17.0,9.0,7.0,7.0,3.0,11.0,22.0,50.0,11.0,13.0,0.0,13.0,7.0,24.0,10.0,0.0,286.0,6.0,51.0,120.0,120.0,18.0,286.0,17.0,8.0,47.1,7.0,41.2,155.0,1021.0,498.0,9.0,2.0,21.0,16.0,171.0,0.0,4.0,17.0,1.0,0.0,0.0,0.0,26.0,4.0,8.0,33.3,1,1,0,12.605
Joshua Acheampong,eng ENG,Chelsea,19,2006,5.0,4.0,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,4.0,11.0,0.0,0.26,0.0,0.26,0.26,0.26,0.16,0.0,0.16,0.16,0.16,Matches,3.0,2.0,66.7,0.77,0.52,0.33,0.5,8.1,0.0,0.2,0.4,0.4,273.0,296.0,92.2,4588.0,1044.0,122.0,130.0,93.8,143.0,147.0,97.3,6.0,15.0,40.0,0.0,0.0,0.0,8.0,0.0,0.0,284.0,12.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,2.0,4.0,7.0,9.0,13.0,4.0,330.0,28.0,133.0,179.0,21.0,4.0,330.0,9.0,8.0,88.9,0.0,0.0,241.0,1151.0,622.0,5.0,0.0,0.0,3.0,255.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,16.0,9.0,3.0,75.0,0,0,1,185.0
Tyler Adams,us USA,Bournemouth,26,1999,10.0,10.0,862.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,5.0,40.0,6.0,0.1,0.1,0.21,0.1,0.21,0.04,0.01,0.05,0.04,0.05,Matches,7.0,5.0,71.4,0.73,0.52,0.14,0.2,20.1,0.0,0.06,0.6,0.6,420.0,493.0,85.2,7066.0,1728.0,180.0,203.0,88.7,212.0,233.0,91.0,21.0,35.0,60.0,0.2,0.9,2.0,39.0,0.0,0.0,476.0,17.0,16.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.94,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.31,2.0,0.0,0.0,0.0,0.0,1.0,29.0,14.0,13.0,12.0,4.0,18.0,27.0,66.7,9.0,16.0,4.0,12.0,17.0,46.0,19.0,0.0,608.0,37.0,171.0,359.0,85.0,5.0,608.0,7.0,3.0,42.9,3.0,42.9,310.0,1356.0,628.0,10.0,0.0,9.0,5.0,342.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,50.0,6.0,12.0,33.3,0,1,0,0.0
Tosin Adarabioyo,eng ENG,Chelsea,28,1997,7.0,3.0,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,1.0,0.0,0.0,0.24,0.0,0.0,0.0,6.3,0.0,0.04,0.0,0.0,325.0,363.0,89.5,5946.0,2119.0,107.0,115.0,93.0,199.0,213.0,93.4,17.0,29.0,58.6,0.1,0.0,0.0,17.0,1.0,0.0,341.0,20.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,2.0,1.0,5.0,11.0,26.0,0.0,405.0,55.0,202.0,196.0,7.0,2.0,405.0,0.0,0.0,0.0,0.0,0.0,208.0,899.0,549.0,1.0,0.0,1.0,0.0,281.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,19.0,11.0,63.3,0,0,1,185.0
Simon Adingra,ci CIV,Sunderland,23,2002,6.0,4.0,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,6.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.24,0.05,0.24,Matches,1.0,0.0,0.0,0.33,0.0,0.0,0.0,14.0,0.0,0.14,-0.1,-0.1,48.0,69.0,69.6,803.0,94.0,22.0,28.0,78.6,20.0,22.0,90.9,3.0,7.0,42.9,0.2,-0.6,5.0,0.0,4.0,2.0,68.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2.64,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,103.0,3.0,13.0,35.0,55.0,3.0,103.0,9.0,4.0,44.4,4.0,44.4,73.0,410.0,201.0,1.0,1.0,5.0,7.0,77.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,7.0,3.0,5.0,37.5,1,0,0,0.0
Amine Adli,ma MAR,Bournemouth,25,2000,7.0,1.0,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,5.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,2.0,2.0,100.0,0.95,0.95,0.0,0.0,23.7,1.0,0.05,-0.1,-0.1,58.0,82.0,70.7,824.0,186.0,36.0,43.0,83.7,17.0,22.0,77.3,3.0,6.0,50.0,0.1,-0.2,4.0,2.0,1.0,0.0,75.0,7.0,0.0,1.0,1.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,8.0,3.83,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,4.0,4.0,3.0,7.0,9.0,77.8,2.0,5.0,1.0,4.0,2.0,13.0,5.0,0.0,121.0,2.0,27.0,43.0,54.0,6.0,121.0,8.0,3.0,37.5,5.0,62.5,64.0,375.0,230.0,4.0,0.0,4.0,2.0,65.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,16.0,4.0,5.0,44.4,1,1,0,0.0
Emmanuel Agbadou,ci CIV,Wolves,28,1997,8.0,6.0,561.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.1,0.5,3.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,6.0,2.0,33.3,0.96,0.32,0.0,0.0,22.1,1.0,0.06,-0.4,-0.4,304.0,383.0,79.4,6873.0,2697.0,75.0,84.0,89.3,183.0,204.0,89.7,44.0,89.0,49.4,0.3,-0.1,2.0,38.0,5.0,2.0,357.0,25.0,14.0,1.0,4.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,1.12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,8.0,6.0,1.0,9.0,13.0,69.2,4.0,11.0,10.0,1.0,5.0,20.0,37.0,2.0,463.0,62.0,217.0,216.0,33.0,5.0,463.0,1.0,1.0,100.0,0.0,0.0,259.0,1275.0,586.0,7.0,0.0,7.0,2.0,307.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,31.0,16.0,8.0,66.7,0,0,1,40.27
Nayef Aguerd,ma MAR,West Ham,29,1996,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.9,0.0,0.05,-0.1,-0.1,106.0,119.0,89.1,1731.0,663.0,52.0,53.0,98.1,47.0,49.0,95.9,5.0,13.0,38.5,0.0,0.0,0.0,12.0,0.0,0.0,113.0,6.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,11.0,0.0,143.0,14.0,62.0,72.0,9.0,2.0,143.0,1.0,1.0,100.0,0.0,0.0,71.0,405.0,222.0,2.0,0.0,1.0,0.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,57.1,0,0,1,70.5
Ola Aina,ng NGA,Nott'ham Forest,29,1996,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,5.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2.0,0.0,0.0,0.67,0.0,0.0,0.0,24.6,0.0,0.02,0.0,0.0,125.0,157.0,79.6,2161.0,962.0,58.0,59.0,98.3,56.0,70.0,80.0,9.0,21.0,42.9,0.3,-0.1,2.0,13.0,2.0,1.0,131.0,26.0,5.0,0.0,1.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,5.0,11.0,14.0,0.0,203.0,13.0,70.0,75.0,62.0,3.0,203.0,11.0,3.0,27.3,8.0,72.7,82.0,362.0,212.0,4.0,1.0,0.0,5.0,108.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,4.0,2.0,66.7,0,0,1,40.27
Rayan Aït-Nouri,dz ALG,Manchester City,24,2001,4.0,3.0,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches,2.0,0.0,0.0,0.89,0.0,0.0,0.0,24.9,0.0,0.02,0.0,0.0,109.0,125.0,87.2,1576.0,386.0,67.0,74.0,90.5,40.0,41.0,97.6,2.0,5.0,40.0,0.5,-0.2,2.0,6.0,0.0,0.0,104.0,21.0,2.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.77,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.0,2.0,0.0,3.0,7.0,42.9,4.0,4.0,0.0,4.0,5.0,14.0,9.0,0.0,168.0,10.0,60.0,66.0,42.0,2.0,168.0,7.0,2.0,28.6,5.0,71.4,79.0,425.0,174.0,2.0,0.0,4.0,2.0,98.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,60.0,0,0,1,240.75
