player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,eng ENG,DF,0,24,2000,3.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,8.0,0.0,0.0,8.0,51.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Joshua Acheampong,eng ENG,DF,0,18,2006,4.0,2.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.12,0.0,0.0,0.12,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-0.2,-0.2,104.0,124.0,83.9,2025.0,705.0,29.0,32.0,90.6,63.0,68.0,92.6,11.0,20.0,55.0,0.0,0.0,6.0,0.0,0.0,8.0,121.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,137.0,7.0,48.0,81.0,8.0,3.0,137.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,2.0,0.0,0.0,111.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,14.3
Tyler Adams,us USA,MF,0,25,1999,28.0,21.0,"1,965",0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.14,0.14,0.0,0.14,1.6,1.6,0.0,0.07,0.0,0.0,0.07,0.0,21.8,0.0,2.0,0.0,22.2,0.0,0.09,0.0,0.0,0.18,-1.6,-1.6,902.0,1069.0,84.4,14322.0,3525.0,437.0,489.0,89.4,393.0,443.0,88.7,38.0,65.0,58.5,0.0,18.0,67.0,4.0,1.0,76.0,1025.0,38.0,34.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,14.0,41.0,1.88,35.0,0.0,0.0,1.0,1.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,83.0,50.0,26.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,23.0,32.0,42.0,0.0,1337.0,62.0,349.0,779.0,224.0,18.0,1337.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,0.0,14.0,22.0,1.0,0.0,757.0,0.0,28.0,12.0,0.0,45.0,21.0,0.0,0.0,1.0,0.0,114.0,31.0,18.0,63.3
Tosin Adarabioyo,eng ENG,DF,0,26,1997,22.0,15.0,"1,409",1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.13,0.06,0.13,0.9,0.9,0.0,0.06,0.0,0.0,0.06,0.0,15.7,0.0,2.0,0.0,15.4,0.0,0.13,0.08,0.5,0.07,+0.1,+0.1,1079.0,1184.0,91.1,19805.0,7144.0,406.0,425.0,95.5,603.0,636.0,94.8,66.0,109.0,60.6,0.0,1.0,62.0,1.0,0.0,42.0,1142.0,39.0,23.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,15.0,0.96,8.0,0.0,0.0,6.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,17.0,13.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,2.0,11.0,80.0,0.0,1330.0,175.0,630.0,674.0,27.0,14.0,1330.0,0.0,0.0,0.0,0.0,0.0,777.0,0.0,0.0,5.0,2.0,0.0,0.0,1000.0,0.0,4.0,0.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,41.0,42.0,28.0,60.0
Simon Adingra,ci CIV,"FW,MF",0,22,2002,29.0,12.0,"1,097",2.0,2.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,2.5,2.5,0.0,0.2,0.0,0.0,0.2,0.0,12.2,0.0,8.0,0.0,24.2,0.0,0.66,0.06,0.25,0.07,-0.5,-0.5,290.0,382.0,75.9,4148.0,820.0,187.0,217.0,86.2,81.0,109.0,74.3,16.0,29.0,55.2,0.0,16.0,5.0,17.0,6.0,18.0,372.0,9.0,0.0,2.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,12.0,47.0,3.86,33.0,0.0,0.0,8.0,0.0,7.0,0.57,5.0,0.0,0.0,1.0,0.0,0.0,23.0,14.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,8.0,6.0,2.0,548.0,10.0,66.0,174.0,315.0,76.0,548.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,50.0,21.0,27.0,0.0,388.0,0.0,39.0,12.0,0.0,13.0,4.0,4.0,0.0,0.0,0.0,47.0,7.0,4.0,63.6
Emmanuel Agbadou,ci CIV,DF,0,27,1997,16.0,16.0,"1,410",1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.8,0.8,0.0,0.05,0.0,0.0,0.05,0.0,15.7,0.0,2.0,1.0,28.6,0.0,0.13,0.14,0.5,0.12,+0.2,+0.2,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.0,4.0,40.0,1.0,0.0,31.0,955.0,43.0,28.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,17.0,1.09,15.0,2.0,0.0,0.0,0.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,0.0,30.0,19.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,6.0,12.0,90.0,0.0,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,0.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,6.0,4.0,0.0,0.0,796.0,0.0,6.0,4.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,83.0,26.0,20.0,56.5
Asher Agbinone,eng ENG,MF,0,18,2005,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.0,3.0,66.7,32.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ola Aina,ng NGA,DF,0,27,1996,35.0,35.0,"2,995",2.0,1.0,0.0,0.0,5.0,0.0,0.06,0.03,0.09,0.06,0.09,0.6,0.6,0.0,0.02,0.0,0.0,0.02,0.0,33.3,0.0,2.0,0.0,18.2,0.0,0.06,0.18,1.0,0.06,+1.4,+1.4,994.0,1352.0,73.5,15371.0,6297.0,530.0,598.0,88.6,374.0,502.0,74.5,57.0,166.0,34.3,0.0,16.0,85.0,23.0,11.0,107.0,1071.0,279.0,15.0,0.0,0.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,2.0,0.0,0.0,46.0,62.0,1.86,49.0,5.0,0.0,1.0,3.0,4.0,0.12,3.0,0.0,0.0,0.0,0.0,1.0,55.0,42.0,39.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,0.0,22.0,33.0,115.0,4.0,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,67.0,46.0,10.0,0.0,823.0,0.0,44.0,22.0,0.0,23.0,35.0,2.0,0.0,1.0,0.0,190.0,13.0,19.0,40.6
Rayan Aït-Nouri,dz ALG,DF,0,23,2001,37.0,37.0,"3,109",4.0,7.0,0.0,0.0,7.0,1.0,0.12,0.2,0.32,0.12,0.32,2.7,2.7,0.0,0.08,0.0,0.0,0.08,0.0,34.5,0.0,10.0,0.0,27.8,0.0,0.29,0.11,0.4,0.08,+1.3,+1.3,1449.0,1721.0,84.2,19837.0,5926.0,897.0,959.0,93.5,435.0,499.0,87.2,48.0,118.0,40.7,0.0,46.0,77.0,30.0,10.0,108.0,1397.0,320.0,44.0,3.0,0.0,4.0,94.0,30.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,4.0,0.0,0.0,42.0,91.0,2.63,56.0,15.0,0.0,7.0,4.0,12.0,0.35,10.0,1.0,0.0,0.0,0.0,1.0,89.0,57.0,52.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,0.0,36.0,26.0,75.0,2.0,2148.0,96.0,577.0,916.0,685.0,96.0,2148.0,0.0,0.0,0.0,0.0,0.0,1129.0,0.0,0.0,89.0,62.0,28.0,0.0,1321.0,0.0,52.0,47.0,1.0,30.0,46.0,6.0,0.0,0.0,0.0,145.0,22.0,30.0,42.3
Kristoffer Ajer,no NOR,DF,0,26,1998,24.0,17.0,"1,438",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.06,0.0,0.0,0.06,0.0,16.0,0.0,3.0,0.0,33.3,0.0,0.19,0.0,0.0,0.11,-1.0,-1.0,504.0,644.0,78.3,7868.0,2831.0,260.0,299.0,87.0,199.0,248.0,80.2,27.0,54.0,50.0,0.0,8.0,44.0,7.0,4.0,56.0,570.0,73.0,2.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,18.0,18.0,1.13,15.0,0.0,0.0,2.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,13.0,12.0,50.0,0.0,795.0,53.0,265.0,368.0,168.0,38.0,795.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,27.0,11.0,2.0,0.0,491.0,0.0,15.0,12.0,0.0,13.0,6.0,2.0,0.0,0.0,0.0,42.0,27.0,23.0,54.0
