ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0.0,Adrián,es ESP,GK,Liverpool,33,1987,3.0,3.0,270.0,3.0,9.0,3.0,18.0,9.0,50.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,6.8,0.38,-2.2,-0.72,11.0,28.0,39.3,77.0,19.0,31.2,31.3,22.0,18.2,21.1,35.0,0.0,0.0,6.0,2.0,17.0
0.0,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1.0,0.0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.1,0.05,+0.1,+0.50,0.0,3.0,0.0,10.0,2.0,30.0,28.2,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,Alisson,br BRA,GK,Liverpool,27,1992,33.0,33.0,"2,970",33.0,32.0,0.97,115.0,82.0,75.7,18.0,8.0,7.0,10.0,30.3,8.0,4.0,1.0,3.0,20.0,Matches,1.0,4.0,0.0,35.0,0.27,+3.0,+0.09,74.0,194.0,38.1,980.0,165.0,14.9,25.7,173.0,27.7,30.4,341.0,20.0,5.9,87.0,2.64,18.6
0.0,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,36.0,"3,240",36.0,48.0,1.33,161.0,114.0,73.9,5.0,13.0,18.0,9.0,25.0,6.0,6.0,0.0,0.0,0.0,Matches,0.0,2.0,1.0,50.5,0.28,+3.5,+0.10,144.0,389.0,37.0,760.0,173.0,32.8,30.0,251.0,55.8,39.8,501.0,26.0,5.2,31.0,0.86,13.0
0.0,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7.0,6.0,585.0,6.5,8.0,1.23,23.0,15.0,69.6,2.0,2.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,8.0,0.31,0.0,0.0,21.0,53.0,39.6,200.0,41.0,18.5,27.3,46.0,34.8,31.1,68.0,3.0,4.4,1.0,0.15,9.6
0.0,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.0,0.2,-1.0,-1.02,3.0,18.0,16.7,13.0,2.0,76.9,48.9,8.0,100.0,68.1,18.0,1.0,5.6,2.0,2.0,23.3
0.0,David Button,eng ENG,GK,West Brom,31,1989,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,0.8,0.14,-1.2,-1.18,8.0,27.0,29.6,25.0,1.0,60.0,41.8,12.0,100.0,64.4,25.0,0.0,0.0,0.0,0.0,7.0
0.0,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,1.0,90.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,1.5,0.5,-1.5,-1.49,1.0,3.0,33.3,20.0,2.0,15.0,21.6,6.0,0.0,19.2,9.0,0.0,0.0,3.0,3.0,28.0
0.0,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,1.0,90.0,1.0,3.0,3.0,5.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches,0.0,1.0,0.0,2.4,0.09,-0.6,-0.56,0.0,1.0,0.0,14.0,6.0,0.0,18.9,2.0,50.0,29.5,10.0,0.0,0.0,0.0,0.0,16.5
0.0,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,3.0,270.0,3.0,2.0,0.67,10.0,8.0,80.0,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,3.2,0.32,+1.2,+0.41,5.0,14.0,35.7,67.0,20.0,10.4,23.2,31.0,22.6,24.7,30.0,4.0,13.3,1.0,0.33,10.8
