team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Arsenal,25.0,25.0,58.2,38.0,418.0,"3,420",38.0,86.0,62.0,148.0,76.0,10.0,10.0,64.0,2.0,76.1,68.5,55.3,123.8,821.0,2106.0,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26,38.0,38.0,"3,420",29.0,0.76,83.0,54.0,67.5,28.0,5.0,5.0,18.0,47.4,3.0,2.0,1.0,0.0,33.3,1.0,6.0,1.0,24.1,0.26,-3.9,-0.10,157.0,441.0,35.6,1058.0,189.0,35.1,30.7,195.0,35.9,31.1,375.0,48.0,12.8,59.0,1.55,17.9,647.0,209.0,32.3,17.03,5.5,0.12,0.36,15.8,6.0,0.11,+9.9,+7.5,19094.0,22558.0,84.6,309533.0,102210.0,9719.0,10643.0,91.3,7809.0,8765.0,89.1,1178.0,2162.0,54.5,57.8,+6.7,513.0,1546.0,548.0,68.0,20941.0,1530.0,443.0,104.0,65.0,670.0,560.0,265.0,217.0,1.0,0.0,87.0,319.0,1185.0,31.18,926.0,82.0,58.0,66.0,33.0,20.0,152.0,4.0,104.0,16.0,8.0,11.0,13.0,0.0,610.0,348.0,257.0,246.0,107.0,271.0,543.0,49.9,272.0,412.0,106.0,306.0,292.0,902.0,515.0,18.0,26493.0,1974.0,6714.0,11407.0,8560.0,1480.0,26483.0,671.0,283.0,42.2,304.0,45.3,16297.0,81171.0,41510.0,575.0,327.0,525.0,375.0,18917.0,2088.0,1.0,391.0,394.0,87.0,9.0,3.0,1.0,1752.0,503.0,499.0,50.2,90.0,100.0,84.0,263.0,154.0,17.0,188.0,2.34,91.0,29.0,+62,+1.63,76.1,27.9,+48.2,+1.27
Aston Villa,31.0,26.9,53.1,38.0,418.0,"3,420",38.0,72.0,55.0,127.0,68.0,4.0,4.0,94.0,2.0,63.3,60.3,48.6,108.9,775.0,1451.0,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,38.0,38.0,"3,420",61.0,1.61,173.0,115.0,65.3,20.0,8.0,10.0,8.0,21.1,2.0,1.0,1.0,0.0,50.0,1.0,10.0,4.0,61.7,0.35,+4.7,+0.12,136.0,380.0,35.8,1386.0,176.0,21.8,27.1,246.0,31.7,29.5,419.0,51.0,12.2,70.0,1.84,8.4,511.0,182.0,35.6,13.45,4.79,0.13,0.37,16.0,15.0,0.12,+8.7,+7.7,16133.0,19363.0,83.3,281128.0,95293.0,7110.0,7878.0,90.3,7381.0,8273.0,89.2,1330.0,2368.0,56.2,42.5,+6.4,398.0,1160.0,363.0,67.0,17499.0,1817.0,628.0,80.0,95.0,651.0,613.0,231.0,149.0,15.0,2.0,47.0,343.0,912.0,24.0,670.0,77.0,47.0,73.0,31.0,14.0,129.0,3.39,92.0,8.0,8.0,10.0,8.0,3.0,547.0,311.0,269.0,210.0,68.0,260.0,550.0,47.3,290.0,389.0,113.0,276.0,236.0,783.0,597.0,13.0,23059.0,2807.0,8171.0,9636.0,5459.0,1010.0,23055.0,757.0,345.0,45.6,315.0,41.6,14451.0,78629.0,41239.0,490.0,217.0,477.0,416.0,15824.0,1438.0,0.0,412.0,473.0,47.0,4.0,2.0,4.0,1619.0,334.0,363.0,47.9,90.0,100.0,83.0,270.0,151.0,19.0,186.0,1.79,76.0,61.0,+15,+0.39,63.3,59.9,+3.4,+0.09
Bournemouth,30.0,25.7,44.4,38.0,418.0,"3,420",38.0,52.0,39.0,91.0,50.0,2.0,3.0,79.0,3.0,55.9,53.6,40.5,94.0,709.0,1314.0,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,38.0,38.0,"3,420",67.0,1.76,194.0,127.0,68.6,13.0,9.0,16.0,9.0,23.7,7.0,6.0,1.0,0.0,14.3,1.0,6.0,1.0,63.2,0.3,-2.8,-0.07,199.0,581.0,34.3,976.0,177.0,44.0,41.7,266.0,57.1,43.9,492.0,31.0,6.3,37.0,0.97,14.8,539.0,175.0,32.5,14.18,4.61,0.09,0.29,16.7,18.0,0.1,-3.9,-3.6,11899.0,15920.0,74.7,220978.0,83235.0,4976.0,5868.0,84.8,5270.0,6214.0,84.8,1393.0,2964.0,47.0,33.7,-1.5,414.0,1074.0,352.0,88.0,14065.0,1799.0,419.0,48.0,91.0,709.0,774.0,235.0,192.0,9.0,4.0,56.0,361.0,952.0,25.05,700.0,70.0,64.0,57.0,34.0,27.0,83.0,2.18,62.0,3.0,5.0,6.0,3.0,4.0,693.0,410.0,301.0,281.0,111.0,325.0,688.0,47.2,363.0,504.0,153.0,351.0,357.0,1050.0,817.0,16.0,20700.0,2486.0,6820.0,8469.0,5686.0,1033.0,20697.0,872.0,382.0,43.8,414.0,47.5,11015.0,66369.0,34635.0,513.0,240.0,637.0,386.0,11771.0,1296.0,0.0,507.0,376.0,56.0,3.0,7.0,1.0,2013.0,582.0,671.0,46.4,90.0,100.0,82.0,247.0,170.0,20.0,171.0,1.26,54.0,67.0,-13,-0.34,55.9,58.1,-2.2,-0.06
Brentford,28.0,26.6,45.2,38.0,418.0,"3,420",38.0,54.0,38.0,92.0,51.0,3.0,3.0,89.0,2.0,58.2,56.0,42.7,98.8,505.0,1283.0,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,38.0,38.0,"3,420",65.0,1.71,184.0,119.0,65.8,10.0,9.0,19.0,7.0,18.4,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,57.0,0.3,-8.0,-0.21,254.0,677.0,37.5,1330.0,136.0,37.1,35.8,318.0,57.5,44.9,605.0,46.0,7.6,38.0,1.0,10.0,470.0,159.0,33.8,12.37,4.18,0.11,0.32,15.6,17.0,0.12,-4.2,-5.0,12551.0,16818.0,74.6,225971.0,88492.0,5616.0,6628.0,84.7,5236.0,6432.0,81.4,1382.0,2776.0,49.8,40.0,-4.7,332.0,965.0,333.0,106.0,14996.0,1752.0,464.0,70.0,113.0,706.0,683.0,184.0,79.0,51.0,10.0,70.0,357.0,804.0,21.16,557.0,102.0,34.0,55.0,42.0,14.0,81.0,2.13,57.0,7.0,3.0,8.0,6.0,0.0,677.0,399.0,349.0,250.0,78.0,317.0,697.0,45.5,380.0,474.0,142.0,332.0,378.0,1055.0,903.0,18.0,21227.0,2878.0,7944.0,8253.0,5210.0,982.0,21224.0,577.0,243.0,42.1,269.0,46.6,10970.0,56621.0,29411.0,363.0,156.0,556.0,271.0,12416.0,1276.0,0.0,385.0,419.0,70.0,3.0,2.0,0.0,1892.0,632.0,607.0,51.0,90.0,100.0,83.0,247.0,170.0,16.0,172.0,1.03,56.0,65.0,-9,-0.24,58.2,56.0,+2.2,+0.06
Brighton,30.0,25.9,59.8,38.0,418.0,"3,420",38.0,50.0,36.0,86.0,45.0,5.0,6.0,90.0,3.0,56.8,52.2,41.6,93.8,864.0,1780.0,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,38.0,38.0,"3,420",62.0,1.63,165.0,105.0,66.1,12.0,12.0,14.0,6.0,15.8,6.0,6.0,0.0,0.0,0.0,1.0,8.0,2.0,51.1,0.28,-8.9,-0.23,102.0,274.0,37.2,1278.0,186.0,20.3,24.4,254.0,5.9,12.0,405.0,24.0,5.9,72.0,1.89,15.8,555.0,198.0,35.7,14.61,5.21,0.08,0.23,16.7,11.0,0.1,-6.8,-7.2,21810.0,25029.0,87.1,341060.0,113686.0,11574.0,12473.0,92.8,8261.0,9125.0,90.5,1296.0,2164.0,59.9,43.7,-5.6,429.0,1484.0,384.0,81.0,23334.0,1611.0,511.0,62.0,76.0,671.0,541.0,206.0,86.0,73.0,5.0,84.0,327.0,1010.0,26.58,749.0,87.0,54.0,71.0,38.0,11.0,89.0,2.34,59.0,5.0,9.0,9.0,6.0,1.0,644.0,366.0,292.0,252.0,100.0,307.0,658.0,46.7,351.0,437.0,140.0,297.0,288.0,932.0,603.0,21.0,29112.0,3197.0,9449.0,13090.0,6766.0,1081.0,29106.0,715.0,297.0,41.5,322.0,45.0,19020.0,92960.0,48884.0,584.0,269.0,579.0,342.0,21577.0,1767.0,0.0,414.0,454.0,84.0,6.0,6.0,2.0,1751.0,406.0,345.0,54.1,90.0,100.0,80.0,239.0,176.0,23.0,166.0,1.26,55.0,62.0,-7,-0.18,56.8,55.4,+1.4,+0.04
Burnley,31.0,24.5,47.4,38.0,418.0,"3,420",38.0,40.0,30.0,70.0,37.0,3.0,3.0,77.0,7.0,40.6,38.3,29.7,68.0,727.0,1181.0,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,38.0,38.0,"3,420",78.0,2.05,244.0,168.0,70.5,5.0,9.0,24.0,2.0,5.3,7.0,6.0,1.0,0.0,14.3,0.0,11.0,3.0,75.8,0.29,+0.8,+0.02,215.0,825.0,26.1,1826.0,216.0,35.6,34.3,284.0,61.6,44.7,562.0,50.0,8.9,74.0,1.95,17.2,430.0,137.0,31.9,11.32,3.61,0.09,0.27,17.7,13.0,0.09,-0.6,-1.3,13937.0,17959.0,77.6,246047.0,83556.0,6311.0,7267.0,86.8,6017.0,7042.0,85.4,1324.0,2755.0,48.1,26.6,+0.3,326.0,976.0,216.0,54.0,16189.0,1694.0,445.0,49.0,77.0,550.0,670.0,180.0,67.0,58.0,9.0,76.0,344.0,757.0,19.92,549.0,74.0,49.0,45.0,31.0,9.0,74.0,1.95,55.0,6.0,8.0,2.0,3.0,0.0,607.0,342.0,282.0,247.0,78.0,284.0,584.0,48.6,300.0,477.0,169.0,308.0,280.0,887.0,837.0,22.0,22181.0,2907.0,8021.0,9196.0,5155.0,819.0,22178.0,699.0,300.0,42.9,329.0,47.1,12244.0,66914.0,35421.0,460.0,240.0,517.0,296.0,13779.0,1162.0,3.0,429.0,353.0,76.0,3.0,7.0,3.0,1727.0,561.0,696.0,44.6,90.0,100.0,82.0,255.0,162.0,19.0,180.0,0.63,41.0,78.0,-37,-0.97,40.6,70.4,-29.7,-0.78
Chelsea,32.0,24.2,58.6,38.0,418.0,"3,420",38.0,76.0,51.0,127.0,65.0,11.0,12.0,109.0,4.0,74.5,65.1,51.4,116.5,873.0,1615.0,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,38.0,38.0,"3,420",63.0,1.66,186.0,125.0,67.7,18.0,9.0,11.0,8.0,21.1,5.0,3.0,1.0,1.0,25.0,0.0,8.0,3.0,52.5,0.27,-7.5,-0.20,128.0,361.0,35.5,1129.0,184.0,22.5,27.8,282.0,37.9,32.6,514.0,39.0,7.6,47.0,1.24,12.7,537.0,194.0,36.1,14.13,5.11,0.12,0.34,17.3,22.0,0.12,+1.5,-0.1,20039.0,23364.0,85.8,328448.0,109853.0,10006.0,10877.0,92.0,8176.0,9060.0,90.2,1365.0,2328.0,58.6,43.1,-0.4,419.0,1351.0,352.0,51.0,21587.0,1692.0,496.0,116.0,101.0,558.0,611.0,202.0,78.0,55.0,4.0,85.0,348.0,980.0,25.79,720.0,62.0,76.0,46.0,50.0,26.0,133.0,3.5,89.0,7.0,11.0,10.0,12.0,4.0,663.0,376.0,325.0,235.0,103.0,323.0,630.0,51.3,307.0,448.0,166.0,282.0,298.0,961.0,785.0,24.0,27725.0,3035.0,9367.0,12068.0,6558.0,1039.0,27713.0,869.0,398.0,45.8,365.0,42.0,16624.0,84615.0,44082.0,543.0,291.0,604.0,370.0,19899.0,1600.0,2.0,446.0,451.0,85.0,11.0,5.0,3.0,1846.0,440.0,402.0,52.3,90.0,100.0,84.0,267.0,148.0,17.0,193.0,1.66,77.0,63.0,+14,+0.37,74.5,58.1,+16.4,+0.43
Crystal Palace,26.0,26.8,42.3,38.0,418.0,"3,420",38.0,56.0,43.0,99.0,52.0,4.0,4.0,73.0,2.0,48.6,45.4,38.7,84.1,506.0,1176.0,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,38.0,38.0,"3,420",58.0,1.53,154.0,98.0,64.3,13.0,10.0,15.0,10.0,26.3,3.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,47.5,0.29,-8.5,-0.22,176.0,605.0,29.1,826.0,115.0,51.8,41.2,255.0,69.4,49.2,586.0,30.0,5.1,29.0,0.76,11.2,452.0,162.0,35.8,11.89,4.26,0.12,0.32,17.2,20.0,0.1,+7.4,+6.6,12915.0,16754.0,77.1,225542.0,84922.0,6040.0,6920.0,87.3,5338.0,6287.0,84.9,1204.0,2608.0,46.2,31.5,+4.3,353.0,995.0,273.0,60.0,14948.0,1734.0,484.0,52.0,97.0,583.0,721.0,178.0,81.0,57.0,6.0,72.0,366.0,794.0,20.89,554.0,74.0,48.0,50.0,45.0,23.0,103.0,2.71,85.0,4.0,6.0,2.0,6.0,0.0,788.0,464.0,373.0,301.0,114.0,337.0,609.0,55.3,272.0,456.0,122.0,334.0,323.0,1111.0,927.0,6.0,21367.0,2349.0,7237.0,9279.0,5077.0,797.0,21363.0,737.0,341.0,46.3,320.0,43.4,10943.0,55546.0,26838.0,383.0,170.0,606.0,426.0,12811.0,1161.0,2.0,457.0,427.0,72.0,4.0,3.0,2.0,1909.0,553.0,555.0,49.9,90.0,100.0,85.0,292.0,126.0,16.0,214.0,1.29,57.0,58.0,-1,-0.03,48.6,52.0,-3.4,-0.09
Everton,26.0,27.1,40.8,38.0,418.0,"3,420",38.0,40.0,17.0,57.0,38.0,2.0,3.0,82.0,1.0,54.0,51.6,38.1,89.8,495.0,1129.0,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,38.0,38.0,"3,420",51.0,1.34,165.0,117.0,73.9,13.0,9.0,16.0,13.0,34.2,8.0,8.0,0.0,0.0,0.0,0.0,9.0,3.0,52.4,0.28,+4.4,+0.12,360.0,901.0,40.0,1296.0,141.0,56.7,41.6,274.0,60.6,48.2,570.0,30.0,5.3,54.0,1.42,15.9,504.0,152.0,30.2,13.26,4.0,0.08,0.25,16.7,14.0,0.11,-14.0,-13.6,11349.0,15514.0,73.2,208537.0,88374.0,5198.0,6091.0,85.3,4386.0,5405.0,81.1,1469.0,3057.0,48.1,31.8,-21.1,339.0,958.0,284.0,77.0,13704.0,1721.0,409.0,45.0,78.0,752.0,768.0,181.0,140.0,26.0,3.0,89.0,347.0,854.0,22.47,592.0,82.0,31.0,76.0,41.0,32.0,60.0,1.58,33.0,5.0,0.0,13.0,5.0,4.0,743.0,442.0,371.0,261.0,111.0,347.0,701.0,49.5,354.0,479.0,177.0,302.0,358.0,1101.0,882.0,12.0,20053.0,2568.0,6792.0,8180.0,5283.0,809.0,20050.0,564.0,250.0,44.3,267.0,47.3,9770.0,52160.0,25904.0,389.0,127.0,560.0,320.0,11254.0,1119.0,1.0,457.0,361.0,89.0,2.0,8.0,3.0,1970.0,676.0,577.0,54.0,90.0,100.0,85.0,299.0,121.0,19.0,218.0,1.26,40.0,51.0,-11,-0.29,54.0,55.2,-1.2,-0.03
Fulham,25.0,28.4,50.6,38.0,418.0,"3,420",38.0,54.0,40.0,94.0,52.0,2.0,2.0,84.0,4.0,50.8,49.2,37.6,86.8,670.0,1467.0,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,38.0,38.0,"3,420",61.0,1.61,190.0,133.0,72.1,13.0,8.0,17.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439.0,32.8,1272.0,167.0,25.5,28.5,301.0,38.2,33.0,472.0,19.0,4.0,40.0,1.05,14.2,499.0,175.0,35.1,13.13,4.61,0.1,0.3,17.0,14.0,0.1,+3.2,+2.8,16311.0,20237.0,80.6,290238.0,100538.0,7028.0,7907.0,88.9,7277.0,8347.0,87.2,1586.0,2853.0,55.6,33.6,+2.4,379.0,1117.0,355.0,94.0,18414.0,1772.0,464.0,58.0,118.0,736.0,696.0,212.0,70.0,98.0,1.0,51.0,421.0,877.0,23.08,652.0,79.0,40.0,67.0,24.0,15.0,95.0,2.5,73.0,6.0,4.0,8.0,3.0,1.0,679.0,384.0,339.0,260.0,80.0,346.0,678.0,51.0,332.0,437.0,117.0,320.0,371.0,1050.0,744.0,14.0,24318.0,2792.0,8619.0,10359.0,5568.0,849.0,24316.0,550.0,271.0,49.3,232.0,42.2,13883.0,72675.0,36777.0,508.0,151.0,520.0,325.0,16183.0,1452.0,3.0,384.0,364.0,51.0,2.0,8.0,4.0,1837.0,487.0,509.0,48.9,90.0,100.0,82.0,244.0,170.0,18.0,171.0,1.24,55.0,61.0,-6,-0.16,50.8,62.9,-12.1,-0.32
