team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Arsenal,29.0,25.9,53.5,38.0,418.0,"3,420",38.0,53.0,38.0,91.0,47.0,6.0,6.0,49.0,5.0,51.7,47.0,35.1,82.1,758.0,1760.0,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,38.0,38.0,"3,417",39.0,1.03,129.0,93.0,71.3,18.0,7.0,13.0,12.0,31.6,3.0,2.0,1.0,0.0,33.3,0.0,3.0,4.0,36.0,0.26,+1.0,+0.03,81.0,303.0,26.7,1021.0,206.0,16.7,28.2,238.0,55.5,42.3,518.0,24.0,4.6,37.0,0.97,0.0,453.0,140.0,30.9,11.92,3.68,0.1,0.34,17.7,23.0,0.11,+1.3,0.0,18041.0,21807.0,82.7,306094.0,93540.0,8319.0,9236.0,90.1,7770.0,8814.0,88.2,1453.0,2621.0,55.4,35.3,+2.9,332.0,1377.0,325.0,67.0,20122.0,1624.0,440.0,34.0,133.0,751.0,663.0,207.0,86.0,64.0,12.0,61.0,311.0,813.0,21.39,623.0,44.0,49.0,45.0,46.0,6.0,95.0,2.5,69.0,2.0,8.0,6.0,8.0,2.0,456.0,252.0,206.0,184.0,66.0,212.0,547.0,38.8,335.0,368.0,113.0,255.0,351.0,807.0,643.0,16.0,25431.0,2426.0,7970.0,11384.0,6240.0,910.0,25425.0,535.0,296.0,55.3,239.0,44.7,15532.0,83176.0,45081.0,499.0,195.0,511.0,260.0,17924.0,1748.0,1.0,346.0,400.0,61.0,5.0,3.0,4.0,1838.0,504.0,594.0,45.9,90.0,100.0,84.0,301.0,114.0,19.0,201.0,1.61,55.0,39.0,+16,+0.42,51.7,43.0,+8.8,+0.23
Aston Villa,24.0,25.2,48.5,38.0,418.0,"3,420",38.0,52.0,38.0,90.0,47.0,5.0,6.0,71.0,4.0,52.5,47.9,37.4,85.3,629.0,1420.0,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,38.0,38.0,"3,420",46.0,1.21,186.0,133.0,78.0,16.0,7.0,15.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,2.0,4.0,1.0,49.2,0.24,+4.2,+0.11,247.0,639.0,38.7,1056.0,177.0,45.0,37.1,256.0,64.1,46.9,613.0,42.0,6.9,34.0,0.89,14.2,514.0,178.0,34.6,13.53,4.68,0.09,0.26,17.3,16.0,0.1,-0.5,-0.9,12940.0,16998.0,76.1,235952.0,93019.0,5731.0,6656.0,86.1,5222.0,6209.0,84.1,1571.0,3074.0,51.1,31.4,+0.6,403.0,1086.0,323.0,76.0,15004.0,1923.0,590.0,12.0,127.0,779.0,780.0,213.0,106.0,39.0,15.0,71.0,275.0,940.0,24.74,670.0,91.0,63.0,47.0,58.0,11.0,94.0,2.47,66.0,8.0,4.0,6.0,9.0,1.0,530.0,282.0,262.0,202.0,66.0,250.0,571.0,43.8,321.0,438.0,159.0,279.0,387.0,917.0,783.0,17.0,21115.0,2579.0,6975.0,8614.0,5759.0,947.0,21109.0,595.0,369.0,62.0,223.0,37.5,11290.0,60377.0,30666.0,463.0,226.0,579.0,337.0,12834.0,1403.0,4.0,439.0,553.0,71.0,6.0,6.0,1.0,1906.0,728.0,665.0,52.3,90.0,100.0,86.0,324.0,91.0,17.0,229.0,1.45,55.0,46.0,+9,+0.24,52.5,51.1,+1.5,+0.04
Brighton,27.0,25.8,51.1,38.0,418.0,"3,420",38.0,39.0,24.0,63.0,33.0,6.0,9.0,49.0,6.0,50.9,43.8,33.2,77.0,685.0,1516.0,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,38.0,38.0,"3,420",46.0,1.21,125.0,81.0,68.0,9.0,14.0,15.0,12.0,31.6,7.0,6.0,0.0,1.0,0.0,0.0,8.0,2.0,35.9,0.24,-8.1,-0.21,193.0,522.0,37.0,1280.0,179.0,32.1,28.8,233.0,47.6,39.1,476.0,28.0,5.9,33.0,0.87,10.6,478.0,134.0,28.0,12.58,3.53,0.07,0.25,17.4,15.0,0.09,-11.9,-10.8,15772.0,19871.0,79.4,283213.0,95248.0,6694.0,7654.0,87.5,6893.0,7960.0,86.6,1689.0,3090.0,54.7,34.9,-9.2,358.0,1132.0,358.0,80.0,18111.0,1708.0,404.0,17.0,164.0,686.0,769.0,219.0,71.0,107.0,2.0,52.0,313.0,847.0,22.29,628.0,75.0,34.0,55.0,42.0,13.0,63.0,1.66,47.0,6.0,1.0,4.0,5.0,0.0,628.0,334.0,297.0,251.0,80.0,252.0,603.0,41.8,351.0,417.0,97.0,320.0,425.0,1053.0,604.0,8.0,23756.0,2489.0,7928.0,10231.0,5828.0,885.0,23747.0,573.0,350.0,61.1,222.0,38.7,13491.0,73653.0,37608.0,468.0,131.0,549.0,306.0,15634.0,1495.0,2.0,428.0,357.0,52.0,7.0,7.0,2.0,2040.0,531.0,574.0,48.1,90.0,100.0,85.0,305.0,108.0,20.0,208.0,1.08,40.0,46.0,-6,-0.16,50.9,35.3,+15.6,+0.41
Burnley,25.0,28.3,42.1,38.0,418.0,"3,420",38.0,32.0,20.0,52.0,29.0,3.0,3.0,48.0,0.0,39.3,36.9,27.7,64.6,389.0,1012.0,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,38.0,38.0,"3,420",55.0,1.45,179.0,125.0,70.9,10.0,9.0,19.0,11.0,28.9,3.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,49.1,0.26,-4.9,-0.13,317.0,841.0,37.7,846.0,143.0,69.1,54.5,298.0,85.9,59.7,600.0,34.0,5.7,78.0,2.05,10.0,381.0,124.0,32.5,10.03,3.26,0.08,0.23,17.4,15.0,0.1,-7.3,-7.9,10825.0,15562.0,69.6,196816.0,82192.0,5117.0,6058.0,84.5,3688.0,4824.0,76.5,1553.0,3535.0,43.9,26.9,-7.7,267.0,923.0,292.0,80.0,13737.0,1745.0,461.0,10.0,110.0,772.0,721.0,172.0,154.0,5.0,1.0,80.0,263.0,666.0,17.53,471.0,71.0,28.0,36.0,51.0,9.0,52.0,1.37,32.0,6.0,4.0,3.0,5.0,2.0,507.0,293.0,241.0,203.0,63.0,229.0,564.0,40.6,335.0,440.0,180.0,260.0,416.0,923.0,824.0,11.0,19392.0,2181.0,5794.0,9081.0,4684.0,699.0,19389.0,403.0,234.0,58.1,170.0,42.2,9239.0,46385.0,20946.0,340.0,75.0,503.0,278.0,10755.0,1002.0,0.0,384.0,389.0,80.0,3.0,3.0,1.0,2000.0,874.0,854.0,50.6,90.0,100.0,86.0,339.0,81.0,19.0,235.0,1.03,33.0,55.0,-22,-0.58,39.3,54.7,-15.4,-0.40
Chelsea,27.0,26.0,60.9,38.0,418.0,"3,420",38.0,56.0,38.0,94.0,48.0,8.0,10.0,51.0,3.0,62.4,54.5,41.5,96.0,895.0,1798.0,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,38.0,38.0,"3,420",36.0,0.95,107.0,71.0,69.2,19.0,10.0,9.0,18.0,47.4,4.0,3.0,1.0,0.0,25.0,1.0,5.0,1.0,31.4,0.26,-3.6,-0.10,93.0,253.0,36.8,1066.0,169.0,17.7,21.6,231.0,27.7,26.6,412.0,20.0,4.9,31.0,0.82,28.0,546.0,193.0,35.3,14.37,5.08,0.09,0.25,17.1,16.0,0.1,-6.4,-6.5,21969.0,25799.0,85.2,360450.0,112392.0,10454.0,11454.0,91.3,8965.0,9976.0,89.9,1667.0,2703.0,61.7,37.1,-3.5,448.0,1441.0,377.0,70.0,24055.0,1665.0,402.0,29.0,154.0,749.0,732.0,226.0,77.0,113.0,2.0,79.0,362.0,1018.0,26.79,790.0,81.0,42.0,55.0,43.0,7.0,95.0,2.5,69.0,6.0,4.0,6.0,10.0,0.0,612.0,341.0,257.0,282.0,73.0,231.0,570.0,40.5,339.0,420.0,83.0,337.0,382.0,994.0,661.0,16.0,29889.0,2502.0,8879.0,13917.0,7308.0,1017.0,29879.0,657.0,359.0,54.6,298.0,45.4,17523.0,90661.0,48291.0,663.0,243.0,585.0,286.0,21851.0,1787.0,1.0,433.0,364.0,79.0,10.0,4.0,1.0,1999.0,569.0,515.0,52.5,90.0,100.0,84.0,308.0,108.0,22.0,208.0,1.76,58.0,36.0,+22,+0.58,62.4,30.3,+32.1,+0.85
Crystal Palace,24.0,29.1,40.6,38.0,418.0,"3,420",38.0,39.0,29.0,68.0,36.0,3.0,4.0,56.0,2.0,34.1,31.0,23.6,54.6,526.0,1132.0,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,38.0,38.0,"3,420",66.0,1.74,174.0,107.0,63.8,12.0,8.0,18.0,8.0,21.1,4.0,3.0,1.0,0.0,25.0,1.0,9.0,0.0,51.2,0.28,-14.8,-0.39,226.0,669.0,33.8,775.0,158.0,51.0,48.9,323.0,84.8,56.3,622.0,20.0,3.2,26.0,0.68,23.3,345.0,127.0,36.8,9.08,3.34,0.1,0.28,17.6,18.0,0.09,+4.9,+5.0,11627.0,15597.0,74.5,193706.0,81274.0,5889.0,6882.0,85.6,4127.0,5088.0,81.1,1131.0,2449.0,46.2,23.4,+5.4,264.0,838.0,232.0,54.0,13707.0,1823.0,473.0,8.0,47.0,533.0,772.0,151.0,67.0,29.0,27.0,67.0,351.0,618.0,16.26,433.0,54.0,52.0,23.0,46.0,10.0,70.0,1.84,49.0,5.0,6.0,3.0,5.0,2.0,636.0,366.0,329.0,234.0,73.0,283.0,620.0,45.6,337.0,447.0,138.0,309.0,396.0,1032.0,774.0,13.0,19798.0,2193.0,6917.0,8697.0,4410.0,653.0,19794.0,645.0,365.0,56.6,280.0,43.4,10227.0,56545.0,26885.0,388.0,151.0,596.0,402.0,11525.0,1113.0,1.0,409.0,436.0,67.0,2.0,4.0,0.0,1923.0,685.0,658.0,51.0,90.0,100.0,86.0,321.0,95.0,17.0,208.0,1.16,41.0,66.0,-25,-0.66,34.1,58.2,-24.2,-0.64
Everton,29.0,26.3,46.4,38.0,418.0,"3,420",38.0,45.0,32.0,77.0,41.0,4.0,5.0,59.0,2.0,45.7,41.9,30.7,72.6,604.0,1184.0,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,38.0,38.0,"3,420",48.0,1.26,161.0,114.0,72.0,17.0,8.0,13.0,12.0,31.6,4.0,3.0,0.0,1.0,0.0,1.0,5.0,1.0,47.8,0.28,+0.8,+0.02,268.0,692.0,38.7,1092.0,177.0,47.6,35.6,271.0,63.5,47.7,560.0,25.0,4.5,35.0,0.92,12.3,395.0,143.0,36.2,10.39,3.76,0.1,0.29,17.2,15.0,0.11,-0.7,-0.9,14792.0,18696.0,79.1,263227.0,93921.0,6563.0,7438.0,88.2,6125.0,7073.0,86.6,1580.0,2924.0,54.0,28.7,+1.3,300.0,944.0,257.0,60.0,17021.0,1610.0,426.0,28.0,121.0,662.0,660.0,167.0,93.0,53.0,3.0,65.0,362.0,710.0,18.68,514.0,67.0,34.0,43.0,46.0,6.0,80.0,2.11,54.0,9.0,2.0,10.0,5.0,0.0,640.0,381.0,325.0,242.0,73.0,266.0,664.0,40.1,398.0,458.0,157.0,301.0,392.0,1032.0,847.0,19.0,22845.0,2729.0,8235.0,10258.0,4585.0,643.0,22840.0,591.0,362.0,61.3,229.0,38.7,12603.0,70612.0,36337.0,443.0,105.0,552.0,344.0,14706.0,1177.0,0.0,386.0,392.0,65.0,4.0,4.0,1.0,2030.0,665.0,486.0,57.8,90.0,100.0,85.0,310.0,106.0,19.0,206.0,1.55,47.0,48.0,-1,-0.03,45.7,50.1,-4.5,-0.12
Fulham,28.0,25.2,49.7,38.0,418.0,"3,420",38.0,26.0,18.0,44.0,23.0,3.0,6.0,67.0,3.0,40.5,35.9,26.3,62.2,727.0,1354.0,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,38.0,38.0,"3,420",53.0,1.39,170.0,118.0,72.9,5.0,13.0,20.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,54.5,0.29,+2.5,+0.07,150.0,402.0,37.3,800.0,179.0,32.5,30.2,258.0,55.0,39.5,518.0,27.0,5.2,33.0,0.87,14.0,436.0,125.0,28.7,11.47,3.29,0.05,0.18,18.3,12.0,0.08,-14.5,-12.9,15401.0,19512.0,78.9,270640.0,94395.0,6853.0,7837.0,87.4,6528.0,7611.0,85.8,1529.0,2866.0,53.3,25.3,-8.3,334.0,1019.0,290.0,94.0,17703.0,1766.0,469.0,17.0,109.0,710.0,784.0,164.0,54.0,73.0,15.0,43.0,346.0,785.0,20.66,579.0,65.0,53.0,35.0,47.0,6.0,47.0,1.24,33.0,2.0,4.0,3.0,4.0,1.0,601.0,329.0,282.0,231.0,88.0,254.0,581.0,43.7,327.0,356.0,95.0,261.0,437.0,1038.0,794.0,13.0,23810.0,2407.0,8063.0,10438.0,5567.0,728.0,23804.0,795.0,506.0,63.6,289.0,36.4,13406.0,74278.0,37380.0,525.0,156.0,721.0,393.0,15290.0,1338.0,0.0,484.0,372.0,43.0,5.0,7.0,1.0,2010.0,649.0,625.0,50.9,90.0,100.0,85.0,306.0,110.0,19.0,203.0,0.74,27.0,53.0,-26,-0.68,40.5,52.6,-12.1,-0.32
Leeds United,23.0,26.1,57.3,38.0,418.0,"3,420",38.0,60.0,45.0,105.0,56.0,4.0,4.0,61.0,1.0,55.6,52.5,41.9,94.3,811.0,1633.0,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48,38.0,38.0,"3,420",54.0,1.42,198.0,145.0,76.8,18.0,5.0,15.0,12.0,31.6,9.0,8.0,1.0,0.0,11.1,1.0,11.0,2.0,49.9,0.21,-2.1,-0.06,105.0,319.0,32.9,1166.0,306.0,19.1,27.4,298.0,32.2,28.9,477.0,28.0,5.9,20.0,0.53,11.9,518.0,193.0,37.3,13.63,5.08,0.11,0.29,16.9,9.0,0.1,+4.4,+3.5,16284.0,20629.0,78.9,286488.0,99274.0,6970.0,7933.0,87.9,7130.0,8308.0,85.8,1631.0,3014.0,54.1,34.4,+3.1,394.0,1110.0,349.0,68.0,18658.0,1895.0,467.0,27.0,205.0,786.0,809.0,229.0,115.0,78.0,1.0,76.0,364.0,924.0,24.32,701.0,73.0,45.0,63.0,31.0,11.0,108.0,2.84,81.0,6.0,8.0,8.0,5.0,0.0,740.0,417.0,378.0,279.0,83.0,310.0,769.0,40.3,459.0,406.0,149.0,257.0,397.0,1137.0,646.0,26.0,24873.0,2750.0,9043.0,10345.0,5695.0,880.0,24869.0,563.0,318.0,56.5,245.0,43.5,14066.0,80443.0,44866.0,491.0,158.0,667.0,319.0,16154.0,1625.0,0.0,432.0,410.0,76.0,3.0,9.0,2.0,2160.0,538.0,605.0,47.1,90.0,100.0,83.0,312.0,107.0,25.0,209.0,1.55,62.0,54.0,+8,+0.21,55.6,57.9,-2.2,-0.06
Leicester City,27.0,26.5,54.3,38.0,418.0,"3,420",38.0,64.0,45.0,109.0,54.0,10.0,12.0,61.0,0.0,55.8,46.3,33.7,80.1,666.0,1464.0,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11,38.0,38.0,"3,420",50.0,1.32,136.0,88.0,66.2,20.0,6.0,12.0,11.0,28.9,4.0,4.0,0.0,0.0,0.0,0.0,9.0,2.0,42.2,0.29,-5.8,-0.15,159.0,425.0,37.4,1038.0,181.0,32.1,33.2,210.0,43.8,37.9,484.0,20.0,4.1,19.0,0.5,13.6,473.0,170.0,35.9,12.45,4.47,0.11,0.32,18.6,20.0,0.1,+8.2,+7.7,17014.0,21216.0,80.2,285395.0,94092.0,7893.0,8978.0,87.9,7010.0,8113.0,86.4,1461.0,2737.0,53.4,30.1,+11.3,360.0,1209.0,283.0,57.0,19423.0,1722.0,474.0,35.0,92.0,649.0,738.0,212.0,61.0,85.0,5.0,71.0,376.0,863.0,22.71,635.0,49.0,56.0,46.0,54.0,23.0,114.0,3.0,85.0,3.0,8.0,4.0,10.0,4.0,681.0,403.0,319.0,263.0,99.0,295.0,676.0,43.6,381.0,386.0,90.0,296.0,438.0,1119.0,685.0,9.0,25366.0,2268.0,7924.0,11997.0,5675.0,772.0,25354.0,645.0,358.0,55.5,287.0,44.5,13991.0,72245.0,37072.0,481.0,141.0,549.0,322.0,16883.0,1455.0,0.0,413.0,421.0,71.0,11.0,4.0,2.0,2111.0,600.0,590.0,50.4,90.0,100.0,85.0,320.0,99.0,22.0,216.0,1.74,68.0,50.0,+18,+0.47,55.8,46.0,+9.8,+0.26
