team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,29.0,53.5,38.0,418.0,"3,420",53.0,38.0,6.0,6.0,49.0,5.0,1.39,1.0,2.39,1.24,2.24,51.7,47.0,0.0,1.36,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,23.0,30.9,0.0,3.68,0.1,0.34,0.11,+1.3,0.0,18041.0,21807.0,82.7,306094.0,93540.0,8319.0,9236.0,90.1,7770.0,8814.0,88.2,1453.0,2621.0,55.4,0.0,332.0,1377.0,325.0,67.0,1760.0,20122.0,1624.0,440.0,34.0,0.0,133.0,751.0,207.0,86.0,64.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,61.0,0.0,0.0,311.0,813.0,21.39,623.0,44.0,0.0,45.0,46.0,95.0,2.5,69.0,2.0,0.0,6.0,8.0,2.0,456.0,252.0,206.0,184.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,113.0,0.0,255.0,351.0,643.0,16.0,25431.0,2426.0,7970.0,11384.0,6240.0,910.0,25425.0,0.0,0.0,0.0,0.0,0.0,15532.0,0.0,0.0,758.0,499.0,195.0,0.0,17924.0,0.0,511.0,260.0,1.0,346.0,400.0,61.0,5.0,3.0,4.0,1838.0,504.0,594.0,45.9
Aston Villa,24.0,48.5,38.0,418.0,"3,420",52.0,38.0,5.0,6.0,71.0,4.0,1.37,1.0,2.37,1.24,2.24,52.5,47.9,0.0,1.38,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,16.0,34.6,0.0,4.68,0.09,0.26,0.1,-0.5,-0.9,12940.0,16998.0,76.1,235952.0,93019.0,5731.0,6656.0,86.1,5222.0,6209.0,84.1,1571.0,3074.0,51.1,0.0,403.0,1086.0,323.0,76.0,1420.0,15004.0,1923.0,590.0,12.0,0.0,127.0,779.0,213.0,106.0,39.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,71.0,0.0,0.0,275.0,940.0,24.74,670.0,91.0,0.0,47.0,58.0,94.0,2.47,66.0,8.0,0.0,6.0,9.0,1.0,530.0,282.0,262.0,202.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,159.0,0.0,279.0,387.0,783.0,17.0,21115.0,2579.0,6975.0,8614.0,5759.0,947.0,21109.0,0.0,0.0,0.0,0.0,0.0,11290.0,0.0,0.0,629.0,463.0,226.0,0.0,12834.0,0.0,579.0,337.0,4.0,439.0,553.0,71.0,6.0,6.0,1.0,1906.0,728.0,665.0,52.3
Brighton,27.0,51.1,38.0,418.0,"3,420",39.0,24.0,6.0,9.0,49.0,6.0,1.03,0.63,1.66,0.87,1.5,50.9,43.8,0.0,1.34,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,15.0,28.0,0.0,3.53,0.07,0.25,0.09,-11.9,-10.8,15772.0,19871.0,79.4,283213.0,95248.0,6694.0,7654.0,87.5,6893.0,7960.0,86.6,1689.0,3090.0,54.7,0.0,358.0,1132.0,358.0,80.0,1516.0,18111.0,1708.0,404.0,17.0,0.0,164.0,686.0,219.0,71.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,0.0,52.0,0.0,0.0,313.0,847.0,22.29,628.0,75.0,0.0,55.0,42.0,63.0,1.66,47.0,6.0,0.0,4.0,5.0,0.0,628.0,334.0,297.0,251.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,97.0,0.0,320.0,425.0,604.0,8.0,23756.0,2489.0,7928.0,10231.0,5828.0,885.0,23747.0,0.0,0.0,0.0,0.0,0.0,13491.0,0.0,0.0,685.0,468.0,131.0,0.0,15634.0,0.0,549.0,306.0,2.0,428.0,357.0,52.0,7.0,7.0,2.0,2040.0,531.0,574.0,48.1
Burnley,25.0,42.1,38.0,418.0,"3,420",32.0,20.0,3.0,3.0,48.0,0.0,0.84,0.53,1.37,0.76,1.29,39.3,36.9,0.0,1.03,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,15.0,32.5,0.0,3.26,0.08,0.23,0.1,-7.3,-7.9,10825.0,15562.0,69.6,196816.0,82192.0,5117.0,6058.0,84.5,3688.0,4824.0,76.5,1553.0,3535.0,43.9,0.0,267.0,923.0,292.0,80.0,1012.0,13737.0,1745.0,461.0,10.0,0.0,110.0,772.0,172.0,154.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,0.0,80.0,0.0,0.0,263.0,666.0,17.53,471.0,71.0,0.0,36.0,51.0,52.0,1.37,32.0,6.0,0.0,3.0,5.0,2.0,507.0,293.0,241.0,203.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,180.0,0.0,260.0,416.0,824.0,11.0,19392.0,2181.0,5794.0,9081.0,4684.0,699.0,19389.0,0.0,0.0,0.0,0.0,0.0,9239.0,0.0,0.0,389.0,340.0,75.0,0.0,10755.0,0.0,503.0,278.0,0.0,384.0,389.0,80.0,3.0,3.0,1.0,2000.0,874.0,854.0,50.6
Chelsea,27.0,60.9,38.0,418.0,"3,420",56.0,38.0,8.0,10.0,51.0,3.0,1.47,1.0,2.47,1.26,2.26,62.4,54.5,0.0,1.64,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,16.0,35.3,0.0,5.08,0.09,0.25,0.1,-6.4,-6.5,21969.0,25799.0,85.2,360450.0,112392.0,10454.0,11454.0,91.3,8965.0,9976.0,89.9,1667.0,2703.0,61.7,0.0,448.0,1441.0,377.0,70.0,1798.0,24055.0,1665.0,402.0,29.0,0.0,154.0,749.0,226.0,77.0,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,0.0,79.0,0.0,0.0,362.0,1018.0,26.79,790.0,81.0,0.0,55.0,43.0,95.0,2.5,69.0,6.0,0.0,6.0,10.0,0.0,612.0,341.0,257.0,282.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,83.0,0.0,337.0,382.0,661.0,16.0,29889.0,2502.0,8879.0,13917.0,7308.0,1017.0,29879.0,0.0,0.0,0.0,0.0,0.0,17523.0,0.0,0.0,895.0,663.0,243.0,0.0,21851.0,0.0,585.0,286.0,1.0,433.0,364.0,79.0,10.0,4.0,1.0,1999.0,569.0,515.0,52.5
Crystal Palace,24.0,40.6,38.0,418.0,"3,420",39.0,29.0,3.0,4.0,56.0,2.0,1.03,0.76,1.79,0.95,1.71,34.1,31.0,0.0,0.9,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,18.0,36.8,0.0,3.34,0.1,0.28,0.09,+4.9,+5.0,11627.0,15597.0,74.5,193706.0,81274.0,5889.0,6882.0,85.6,4127.0,5088.0,81.1,1131.0,2449.0,46.2,0.0,264.0,838.0,232.0,54.0,1132.0,13707.0,1823.0,473.0,8.0,0.0,47.0,533.0,151.0,67.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,0.0,67.0,0.0,0.0,351.0,618.0,16.26,433.0,54.0,0.0,23.0,46.0,70.0,1.84,49.0,5.0,0.0,3.0,5.0,2.0,636.0,366.0,329.0,234.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,138.0,0.0,309.0,396.0,774.0,13.0,19798.0,2193.0,6917.0,8697.0,4410.0,653.0,19794.0,0.0,0.0,0.0,0.0,0.0,10227.0,0.0,0.0,526.0,388.0,151.0,0.0,11525.0,0.0,596.0,402.0,1.0,409.0,436.0,67.0,2.0,4.0,0.0,1923.0,685.0,658.0,51.0
Everton,29.0,46.4,38.0,418.0,"3,420",45.0,32.0,4.0,5.0,59.0,2.0,1.18,0.84,2.03,1.08,1.92,45.7,41.9,0.0,1.2,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,15.0,36.2,0.0,3.76,0.1,0.29,0.11,-0.7,-0.9,14792.0,18696.0,79.1,263227.0,93921.0,6563.0,7438.0,88.2,6125.0,7073.0,86.6,1580.0,2924.0,54.0,0.0,300.0,944.0,257.0,60.0,1184.0,17021.0,1610.0,426.0,28.0,0.0,121.0,662.0,167.0,93.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,65.0,0.0,0.0,362.0,710.0,18.68,514.0,67.0,0.0,43.0,46.0,80.0,2.11,54.0,9.0,0.0,10.0,5.0,0.0,640.0,381.0,325.0,242.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,157.0,0.0,301.0,392.0,847.0,19.0,22845.0,2729.0,8235.0,10258.0,4585.0,643.0,22840.0,0.0,0.0,0.0,0.0,0.0,12603.0,0.0,0.0,604.0,443.0,105.0,0.0,14706.0,0.0,552.0,344.0,0.0,386.0,392.0,65.0,4.0,4.0,1.0,2030.0,665.0,486.0,57.8
Fulham,28.0,49.7,38.0,418.0,"3,420",26.0,18.0,3.0,6.0,67.0,3.0,0.68,0.47,1.16,0.61,1.08,40.5,35.9,0.0,1.07,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,12.0,28.7,0.0,3.29,0.05,0.18,0.08,-14.5,-12.9,15401.0,19512.0,78.9,270640.0,94395.0,6853.0,7837.0,87.4,6528.0,7611.0,85.8,1529.0,2866.0,53.3,0.0,334.0,1019.0,290.0,94.0,1354.0,17703.0,1766.0,469.0,17.0,0.0,109.0,710.0,164.0,54.0,73.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,43.0,0.0,0.0,346.0,785.0,20.66,579.0,65.0,0.0,35.0,47.0,47.0,1.24,33.0,2.0,0.0,3.0,4.0,1.0,601.0,329.0,282.0,231.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,95.0,0.0,261.0,437.0,794.0,13.0,23810.0,2407.0,8063.0,10438.0,5567.0,728.0,23804.0,0.0,0.0,0.0,0.0,0.0,13406.0,0.0,0.0,727.0,525.0,156.0,0.0,15290.0,0.0,721.0,393.0,0.0,484.0,372.0,43.0,5.0,7.0,1.0,2010.0,649.0,625.0,50.9
Leeds United,23.0,57.3,38.0,418.0,"3,420",60.0,45.0,4.0,4.0,61.0,1.0,1.58,1.18,2.76,1.47,2.66,55.6,52.5,0.0,1.46,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,9.0,37.3,0.0,5.08,0.11,0.29,0.1,+4.4,+3.5,16284.0,20629.0,78.9,286488.0,99274.0,6970.0,7933.0,87.9,7130.0,8308.0,85.8,1631.0,3014.0,54.1,0.0,394.0,1110.0,349.0,68.0,1633.0,18658.0,1895.0,467.0,27.0,0.0,205.0,786.0,229.0,115.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,0.0,76.0,0.0,0.0,364.0,924.0,24.32,701.0,73.0,0.0,63.0,31.0,108.0,2.84,81.0,6.0,0.0,8.0,5.0,0.0,740.0,417.0,378.0,279.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,149.0,0.0,257.0,397.0,646.0,26.0,24873.0,2750.0,9043.0,10345.0,5695.0,880.0,24869.0,0.0,0.0,0.0,0.0,0.0,14066.0,0.0,0.0,811.0,491.0,158.0,0.0,16154.0,0.0,667.0,319.0,0.0,432.0,410.0,76.0,3.0,9.0,2.0,2160.0,538.0,605.0,47.1
Leicester City,27.0,54.3,38.0,418.0,"3,420",64.0,45.0,10.0,12.0,61.0,0.0,1.68,1.18,2.87,1.42,2.61,55.8,46.3,0.0,1.47,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,20.0,35.9,0.0,4.47,0.11,0.32,0.1,+8.2,+7.7,17014.0,21216.0,80.2,285395.0,94092.0,7893.0,8978.0,87.9,7010.0,8113.0,86.4,1461.0,2737.0,53.4,0.0,360.0,1209.0,283.0,57.0,1464.0,19423.0,1722.0,474.0,35.0,0.0,92.0,649.0,212.0,61.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,0.0,71.0,0.0,0.0,376.0,863.0,22.71,635.0,49.0,0.0,46.0,54.0,114.0,3.0,85.0,3.0,0.0,4.0,10.0,4.0,681.0,403.0,319.0,263.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,90.0,0.0,296.0,438.0,685.0,9.0,25366.0,2268.0,7924.0,11997.0,5675.0,772.0,25354.0,0.0,0.0,0.0,0.0,0.0,13991.0,0.0,0.0,666.0,481.0,141.0,0.0,16883.0,0.0,549.0,322.0,0.0,413.0,421.0,71.0,11.0,4.0,2.0,2111.0,600.0,590.0,50.4
