ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,team_score
0.0,Robin Olsen,se SWE,GK,Aston Villa,34,1990,4.0,1.0,226.0,2.5,6.0,2.39,14.0,8.0,64.3,1.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,6.3,0.4,0.3,0.12,19.0,54.0,35.2,75.0,1.0,42.7,35.9,26.0,84.6,60.0,40.0,3.0,7.5,0.0,0.0,8.6,47.25
0.0,André Onana,cm CMR,GK,Manchester Utd,28,1996,34.0,34.0,"3,060",34.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,4.0,3.0,1.0,0.0,25.0,Matches,1.0,10.0,1.0,44.0,0.31,1.0,0.03,118.0,440.0,26.8,1152.0,136.0,29.7,30.3,149.0,65.8,47.2,399.0,22.0,5.5,23.0,0.68,11.8,202.5
0.0,Stefan Ortega,de GER,GK,Manchester City,31,1992,13.0,12.0,"1,100",12.2,18.0,1.47,50.0,33.0,68.0,5.0,4.0,3.0,3.0,25.0,2.0,2.0,0.0,0.0,0.0,Matches,1.0,1.0,1.0,16.3,0.31,-0.7,-0.06,40.0,104.0,38.5,409.0,55.0,21.5,26.7,49.0,32.7,28.2,133.0,6.0,4.5,12.0,0.98,14.3,253.75
0.0,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13.0,13.0,"1,170",13.0,30.0,2.31,71.0,43.0,59.2,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,9.0,2.0,25.1,0.35,-2.9,-0.22,71.0,186.0,38.2,329.0,55.0,36.8,33.9,94.0,69.1,50.8,249.0,20.0,8.0,13.0,1.0,11.5,0.0
0.0,Jordan Pickford,eng ENG,GK,Everton,30,1994,38.0,38.0,"3,420",38.0,44.0,1.16,163.0,117.0,73.0,11.0,15.0,12.0,12.0,31.6,2.0,0.0,2.0,0.0,100.0,Matches,1.0,6.0,0.0,48.8,0.3,4.8,0.13,304.0,806.0,37.7,1355.0,161.0,48.8,39.7,231.0,62.8,48.7,558.0,31.0,5.6,57.0,1.5,15.2,41.131
0.0,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28.0,28.0,"2,520",28.0,35.0,1.25,120.0,86.0,71.7,13.0,6.0,9.0,8.0,28.6,2.0,1.0,1.0,0.0,50.0,Matches,0.0,3.0,2.0,34.8,0.28,1.8,0.06,72.0,257.0,28.0,595.0,192.0,25.7,30.7,187.0,55.6,43.6,359.0,39.0,10.9,64.0,2.29,16.0,41.131
0.0,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30.0,30.0,"2,700",30.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,Matches,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,190.0,77.4,55.9,457.0,25.0,5.5,20.0,0.67,11.7,41.131
0.0,David Raya,es ESP,GK,Arsenal,28,1995,38.0,38.0,"3,420",38.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,Matches,2.0,8.0,0.0,35.1,0.28,1.1,0.03,149.0,478.0,31.2,1263.0,178.0,29.9,29.9,147.0,68.0,49.1,402.0,53.0,13.2,66.0,1.74,17.2,189.0
0.0,José Sá,pt POR,GK,Wolves,31,1993,29.0,29.0,"2,609",29.0,48.0,1.66,117.0,69.0,63.2,11.0,5.0,13.0,7.0,24.1,7.0,5.0,2.0,0.0,28.6,Matches,1.0,6.0,2.0,42.8,0.33,-3.2,-0.11,94.0,382.0,24.6,771.0,121.0,39.3,35.2,150.0,52.7,41.5,432.0,32.0,7.4,43.0,1.48,15.5,41.131
0.0,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32.0,32.0,"2,880",32.0,34.0,1.06,127.0,92.0,76.4,17.0,9.0,6.0,10.0,31.3,5.0,4.0,1.0,0.0,20.0,Matches,0.0,4.0,0.0,35.7,0.25,1.7,0.05,98.0,424.0,23.1,1160.0,190.0,33.3,33.4,82.0,46.3,40.3,370.0,47.0,12.7,57.0,1.78,14.5,192.0
0.0,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38.0,38.0,"3,420",38.0,46.0,1.21,165.0,119.0,73.9,19.0,8.0,11.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,Matches,1.0,5.0,0.0,49.1,0.29,3.1,0.08,244.0,698.0,35.0,715.0,83.0,68.4,44.7,270.0,77.4,54.3,710.0,19.0,2.7,12.0,0.32,8.7,0.0
0.0,Jason Steele,eng ENG,GK,Brighton,33,1990,2.0,2.0,180.0,2.0,1.0,0.5,4.0,3.0,75.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.5,0.12,-0.5,-0.26,7.0,16.0,43.8,110.0,7.0,13.6,25.1,2.0,50.0,43.0,22.0,2.0,9.1,3.0,1.5,15.4,41.131
0.0,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10.0,10.0,900.0,10.0,16.0,1.6,44.0,28.0,63.6,3.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,15.4,0.35,-0.6,-0.06,57.0,195.0,29.2,328.0,36.0,46.3,34.2,58.0,74.1,50.2,169.0,10.0,5.9,8.0,0.8,12.5,45.0
0.0,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5.0,5.0,450.0,5.0,5.0,1.0,25.0,20.0,80.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,1.0,0.0,9.5,0.38,4.5,0.89,33.0,73.0,45.2,103.0,29.0,41.7,36.3,39.0,76.9,55.8,63.0,1.0,1.6,5.0,1.0,12.9,0.0
0.0,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,2.0,1.0,145.0,1.6,2.0,1.24,4.0,3.0,50.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,0.6,0.14,-0.4,-0.26,15.0,38.0,39.5,54.0,7.0,42.6,34.9,16.0,93.8,59.3,16.0,2.0,12.5,0.0,0.0,4.7,0.0
0.0,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36.0,36.0,"3,240",36.0,58.0,1.61,143.0,87.0,65.7,14.0,13.0,9.0,7.0,19.4,9.0,9.0,0.0,0.0,0.0,Matches,1.0,4.0,2.0,51.0,0.31,-5.0,-0.14,122.0,386.0,31.6,1226.0,122.0,26.9,29.7,83.0,67.5,48.5,414.0,27.0,6.5,47.0,1.31,13.9,41.131
0.0,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24.0,24.0,"2,160",24.0,37.0,1.54,102.0,67.0,64.7,9.0,3.0,12.0,4.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches,0.0,6.0,2.0,37.4,0.36,2.4,0.1,28.0,95.0,29.5,809.0,120.0,10.5,22.8,65.0,15.4,22.8,312.0,30.0,9.6,31.0,1.29,13.3,155.25
0.0,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7.0,7.0,630.0,7.0,19.0,2.71,39.0,20.0,56.4,1.0,1.0,5.0,1.0,14.3,2.0,2.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,17.1,0.4,-1.9,-0.28,42.0,116.0,36.2,204.0,35.0,42.6,34.3,51.0,56.9,44.5,111.0,12.0,10.8,2.0,0.29,8.2,0.0
0.0,Danny Ward,wls WAL,GK,Leicester City,31,1993,2.0,1.0,135.0,1.5,6.0,4.0,10.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.8,0.28,-3.2,-2.11,10.0,22.0,45.5,46.0,9.0,37.0,32.0,7.0,71.4,52.0,11.0,0.0,0.0,2.0,1.33,20.7,45.0
