,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against_per90,gk_shots_on_target_against_per90,gk_saves_per90,gk_save_pct_per90,gk_wins_per90,gk_ties_per90,gk_losses_per90,gk_clean_sheets_per90,gk_clean_sheets_pct_per90,gk_pens_att_per90,gk_pens_allowed_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_pens_save_pct_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against_per90,gk_psxg_net_per90,gk_passes_completed_launched_per90,gk_passes_launched_per90,gk_passes_pct_launched_per90,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched_per90,gk_passes_length_avg_per90,gk_goal_kicks_per90,gk_pct_goal_kicks_launched_per90,gk_goal_kick_length_avg_per90,gk_crosses_per90,gk_crosses_stopped_per90,gk_crosses_stopped_pct_per90,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions_per90,team_score
0,Alisson,br BRA,GK,Liverpool,28,1992,36.0,36.0,"3,240",36.0,0.67,2.75,2.111111111111111,2.1055555555555556,0.75,0.19444444444444445,0.05555555555555555,0.5555555555555556,1.5444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.027777777777777776,0.6777777777777777,0.006944444444444444,0.04,3.1666666666666665,7.166666666666667,1.2277777777777779,33.77777777777778,5.861111111111111,0.4583333333333333,0.7305555555555556,4.777777777777778,0.9194444444444445,0.9277777777777777,9.444444444444445,0.6111111111111112,0.18055555555555555,2.47,0.5194444444444444,215.0
1,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.39,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,5.5,36.52
2,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,4.0,360.0,4.0,0.5,3.25,2.75,21.15,0.5,0.25,0.25,0.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.0625,0.3,2.0,7.25,6.9,29.25,7.25,4.925,6.6,5.25,7.15,6.9,11.0,0.5,1.125,2.0,4.7,242.0
3,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,12.0,"1,080",12.0,2.33,6.0,3.8333333333333335,5.441666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.08333333333333333,0.25,0.16666666666666666,1.9333333333333333,0.024999999999999998,-0.23,5.916666666666667,17.25,2.858333333333333,22.916666666666668,3.9166666666666665,4.483333333333333,3.408333333333333,7.25,5.6499999999999995,3.983333333333333,15.583333333333334,0.5833333333333334,0.30833333333333335,1.0,1.3416666666666668,0.0
4,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,3.0,270.0,3.0,2.67,6.0,3.6666666666666665,20.366666666666667,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,11.1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.4000000000000001,0.06,-0.94,6.666666666666667,20.666666666666668,10.766666666666666,18.0,1.6666666666666667,24.7,16.3,10.333333333333334,23.666666666666668,17.099999999999998,16.666666666666668,1.0,2.0,0.67,3.5666666666666664,36.52
5,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9.0,8.0,765.0,8.5,1.53,3.2941176470588234,1.8823529411764706,6.305882352941176,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.11764705882352941,1.4705882352941178,0.11764705882352941,0.0,0.11764705882352941,0.0,11.764705882352942,0.11764705882352941,0.11764705882352941,0.23529411764705882,1.1411764705882352,0.036470588235294116,-0.16,2.9411764705882355,10.941176470588236,3.164705882352941,26.0,4.705882352941177,3.3529411764705883,3.5058823529411764,7.764705882352941,5.352941176470588,4.270588235294118,16.352941176470587,1.2941176470588236,0.9294117647058824,0.82,1.3176470588235294,0.0
6,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,2.0,180.0,2.0,2.5,5.5,3.0,27.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.65,0.155,-0.85,8.5,18.0,23.6,23.5,0.0,25.55,19.2,6.5,46.15,28.25,16.5,0.5,1.5,2.0,7.0,36.52
7,Karl Darlow,wls WAL,GK,Newcastle Utd,30,1990,8.0,8.0,720.0,8.0,1.87,4.625,2.875,8.1125,0.0,0.625,0.375,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.125,0.125,1.1875,0.02625,-0.56,9.0,20.375,5.525,23.375,3.5,7.6875,5.5625,7.75,9.675,7.0875,13.25,0.625,0.5875,0.5,1.3125,36.52
8,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,26.0,"2,340",26.0,1.35,4.076923076923077,2.769230769230769,2.6115384615384616,0.5,0.15384615384615385,0.34615384615384615,0.3076923076923077,1.1846153846153846,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.2692307692307692,0.038461538461538464,1.3076923076923077,0.012307692307692308,0.0,7.961538461538462,19.115384615384617,1.6,23.26923076923077,3.3846153846153846,1.7807692307692307,1.4230769230769231,9.076923076923077,3.534615384615385,2.326923076923077,13.846153846153847,0.8461538461538461,0.23461538461538461,0.54,0.45769230769230773,36.52
9,Ederson,br BRA,GK,Manchester City,27,1993,37.0,37.0,"3,330",37.0,0.7,2.2432432432432434,1.5405405405405406,1.8891891891891894,0.7567567567567568,0.16216216216216217,0.08108108108108109,0.5405405405405406,1.462162162162162,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.6945945945945946,0.008108108108108109,-0.01,2.3513513513513513,4.918918918918919,1.2918918918918918,26.7027027027027,4.45945945945946,0.4243243243243243,0.6945945945945946,3.72972972972973,0.5297297297297298,0.7243243243243244,8.108108108108109,0.5675675675675675,0.1891891891891892,1.49,0.5135135135135135,220.0
