,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against_per90,gk_shots_on_target_against_per90,gk_saves_per90,gk_save_pct_per90,gk_wins_per90,gk_ties_per90,gk_losses_per90,gk_clean_sheets_per90,gk_clean_sheets_pct_per90,gk_pens_att_per90,gk_pens_allowed_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_pens_save_pct_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against_per90,gk_psxg_net_per90,gk_passes_completed_launched_per90,gk_passes_launched_per90,gk_passes_pct_launched_per90,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched_per90,gk_passes_length_avg_per90,gk_goal_kicks_per90,gk_pct_goal_kicks_launched_per90,gk_goal_kick_length_avg_per90,gk_crosses_per90,gk_crosses_stopped_per90,gk_crosses_stopped_pct_per90,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions_per90,team_score
0,Adrián,es ESP,GK,Liverpool,33,1987,3.0,3.0,270.0,3.0,3.0,6.0,3.0,16.666666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.2666666666666666,0.12666666666666668,-0.72,3.6666666666666665,9.333333333333334,13.1,25.666666666666668,6.333333333333333,10.4,10.433333333333334,7.333333333333333,6.066666666666666,7.033333333333334,11.666666666666666,0.0,0.0,2.0,5.666666666666667,182.0
1,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1.0,0.0,16.0,0.2,0.0,10.0,10.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.0,15.0,0.0,50.0,10.0,150.0,141.0,5.0,0.0,75.0,15.0,0.0,0.0,0.0,0.0,191.0
2,Alisson,br BRA,GK,Liverpool,27,1992,33.0,33.0,"2,970",33.0,0.97,3.484848484848485,2.484848484848485,2.293939393939394,0.5454545454545454,0.24242424242424243,0.21212121212121213,0.30303030303030304,0.9181818181818182,0.24242424242424243,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.6060606060606061,0.030303030303030304,0.12121212121212122,0.0,1.0606060606060606,0.008181818181818182,0.09,2.242424242424242,5.878787878787879,1.1545454545454545,29.696969696969695,5.0,0.45151515151515154,0.7787878787878788,5.242424242424242,0.8393939393939394,0.9212121212121211,10.333333333333334,0.6060606060606061,0.1787878787878788,2.64,0.5636363636363637,182.0
3,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,36.0,"3,240",36.0,1.33,4.472222222222222,3.1666666666666665,2.052777777777778,0.1388888888888889,0.3611111111111111,0.5,0.25,0.6944444444444444,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,1.4027777777777777,0.007777777777777778,0.1,4.0,10.805555555555555,1.0277777777777777,21.11111111111111,4.805555555555555,0.911111111111111,0.8333333333333334,6.972222222222222,1.5499999999999998,1.1055555555555554,13.916666666666666,0.7222222222222222,0.14444444444444446,0.86,0.3611111111111111,35.37
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7.0,6.0,585.0,6.5,1.23,3.5384615384615383,2.3076923076923075,10.707692307692307,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,5.123076923076923,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.2307692307692308,0.047692307692307694,0.0,3.230769230769231,8.153846153846153,6.092307692307693,30.76923076923077,6.3076923076923075,2.8461538461538463,4.2,7.076923076923077,5.3538461538461535,4.7846153846153845,10.461538461538462,0.46153846153846156,0.676923076923077,0.15,1.4769230769230768,247.0
5,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,1.0,90.0,1.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.02,3.0,18.0,16.7,13.0,2.0,76.9,48.9,8.0,100.0,68.1,18.0,1.0,5.6,2.0,23.3,0.0
6,David Button,eng ENG,GK,West Brom,31,1989,1.0,1.0,90.0,1.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.14,-1.18,8.0,27.0,29.6,25.0,1.0,60.0,41.8,12.0,100.0,64.4,25.0,0.0,0.0,0.0,7.0,35.37
7,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,1.0,90.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,-1.49,1.0,3.0,33.3,20.0,2.0,15.0,21.6,6.0,0.0,19.2,9.0,0.0,0.0,3.0,28.0,247.0
8,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,1.0,90.0,1.0,3.0,5.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0.0,1.0,0.0,2.4,0.09,-0.56,0.0,1.0,0.0,14.0,6.0,0.0,18.9,2.0,50.0,29.5,10.0,0.0,0.0,0.0,16.5,210.0
9,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,3.0,270.0,3.0,0.67,3.3333333333333335,2.6666666666666665,26.666666666666668,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.10666666666666667,0.41,1.6666666666666667,4.666666666666667,11.9,22.333333333333332,6.666666666666667,3.466666666666667,7.733333333333333,10.333333333333334,7.533333333333334,8.233333333333333,10.0,1.3333333333333333,4.433333333333334,0.33,3.6,10.135
