,player,nationality,team,age,birth_year,games,games_starts,minutes,minutes_90s,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,progressive_carries_per90,progressive_passes_per90,progressive_passes_received_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots_on_target_pct_per90,shots_per90,shots_on_target_per90,goals_per_shot_per90,goals_per_shot_on_target_per90,average_shot_distance_per90,shots_free_kicks_per90,npxg_per_shot_per90,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,team_score,position_fw,position_mf,position_df
0,Patrick van Aanholt,nl NED,Crystal Palace,29,1990,22.0,20.0,"1,777",19.7,0.0,0.0,0.10152284263959391,0.0,1.9289340101522843,5.228426395939087,4.416243654822336,0.0,0.05,0.05,0.0,0.05,0.07,0.04,0.11,0.07,0.11,Matches,1.4111675126903553,0.91,0.25,0.0,0.0,1.071065989847716,0.15228426395939088,0.0040609137055837565,-0.07106598984771574,-0.07106598984771574,45.98984771573604,59.08629441624365,3.949238578680203,674.4670050761422,304.06091370558374,27.664974619289342,31.116751269035532,4.5126903553299496,14.416243654822335,18.3248730964467,3.9949238578680206,2.5888324873096447,5.32994923857868,2.467005076142132,0.08629441624365482,0.015228426395939087,0.5583756345177665,3.6040609137055837,1.015228426395939,0.20304568527918782,48.68020304568528,9.746192893401016,1.5736040609137056,0.0,0.20304568527918782,2.030456852791878,8.071065989847716,0.10152284263959391,0.0,0.10152284263959391,0.0,0.6598984771573604,1.3197969543147208,1.52,1.3705583756345179,0.10152284263959391,0.050761421319796954,0.0,0.0,0.0,0.15,0.10152284263959391,0.050761421319796954,0.0,0.0,0.0,0.0,1.7766497461928934,1.116751269035533,0.9137055837563453,0.8629441624365483,0.0,0.9644670050761421,2.182741116751269,2.2436548223350257,1.218274111675127,0.9137055837563453,0.30456852791878175,0.6091370558375635,1.5228426395939088,3.299492385786802,2.030456852791878,0.10152284263959391,68.68020304568527,3.0964467005076144,21.31979695431472,31.065989847715738,16.700507614213198,1.8781725888324874,68.68020304568527,1.116751269035533,0.5076142131979695,2.3096446700507616,0.6091370558375635,2.766497461928934,36.954314720812185,172.89340101522842,82.33502538071066,1.4720812182741116,0.4568527918781726,1.218274111675127,0.30456852791878175,40.609137055837564,0.0,0.5583756345177665,0.15228426395939088,0.15228426395939088,0.0,0.0,0.0,6.903553299492386,0.5583756345177665,0.6598984771573604,2.3248730964467006,0.0,0,0,1
1,Tammy Abraham,eng ENG,Chelsea,22,1997,22.0,12.0,"1,040",11.6,0.0,0.0,0.0,0.0,1.0344827586206897,0.9482758620689655,5.689655172413794,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,Matches,3.5000000000000004,2.77,1.13,0.016379310344827588,0.039655172413793106,0.9224137931034483,0.0,0.015517241379310345,0.008620689655172414,0.008620689655172414,12.844827586206897,18.189655172413794,6.086206896551724,147.75862068965517,25.60344827586207,7.327586206896552,9.568965517241379,6.6034482758620685,2.844827586206897,3.9655172413793105,6.181034482758621,0.3448275862068966,0.6896551724137931,4.310344827586207,0.017241379310344827,0.02586206896551724,0.7758620689655172,1.206896551724138,0.08620689655172414,0.0,16.810344827586206,1.3793103448275863,0.1724137931034483,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.7758620689655172,1.47,0.7758620689655172,0.0,0.1724137931034483,0.3448275862068966,0.1724137931034483,0.0,0.17,0.08620689655172414,0.0,0.0,0.0,0.08620689655172414,0.0,0.603448275862069,0.4310344827586207,0.25862068965517243,0.25862068965517243,0.08620689655172414,0.08620689655172414,0.603448275862069,1.2327586206896552,0.5172413793103449,0.5172413793103449,0.0,0.5172413793103449,0.4310344827586207,1.0344827586206897,1.4655172413793105,0.0,30.862068965517242,1.7241379310344829,3.0172413793103448,14.741379310344827,13.275862068965518,5.258620689655173,30.862068965517242,1.5517241379310345,0.5172413793103449,2.8706896551724137,1.0344827586206897,5.75,13.275862068965518,59.827586206896555,22.931034482758623,0.4310344827586207,0.6896551724137931,2.844827586206897,0.603448275862069,20.60344827586207,0.0,1.896551724137931,1.0344827586206897,0.3448275862068966,0.08620689655172414,0.0,0.0,2.413793103448276,3.2758620689655173,2.413793103448276,4.9655172413793105,247.0,1,0,0
2,Che Adams,sct SCO,Southampton,24,1996,36.0,30.0,"2,667",29.6,0.0,0.0,0.03378378378378378,0.0,1.081081081081081,1.9256756756756757,5.033783783783783,0.3,0.17,0.47,0.3,0.47,0.33,0.17,0.5,0.33,0.5,Matches,1.9054054054054053,1.86,1.05,0.005405405405405405,0.009797297297297296,0.46621621621621623,0.0,0.0060810810810810806,-0.02702702702702703,-0.02702702702702703,14.56081081081081,21.013513513513512,2.3412162162162162,210.8108108108108,47.83783783783784,7.702702702702703,10.405405405405405,2.5,4.222972972972973,5.472972972972973,2.608108108108108,1.1486486486486487,1.6554054054054053,2.3445945945945947,0.10135135135135134,0.0,1.25,1.1824324324324325,0.777027027027027,0.03378378378378378,20.777027027027025,0.06756756756756756,0.03378378378378378,0.23648648648648649,0.10135135135135134,0.2027027027027027,0.03378378378378378,0.0,0.0,0.0,0.0,0.16891891891891891,0.6418918918918919,2.29,1.689189189189189,0.0,0.06756756756756756,0.23648648648648649,0.30405405405405406,0.0,0.24,0.2027027027027027,0.0,0.0,0.0,0.03378378378378378,0.0,0.8445945945945945,0.5405405405405405,0.13513513513513511,0.5067567567567567,0.2027027027027027,0.2027027027027027,0.5743243243243243,1.1925675675675673,0.3716216216216216,0.6756756756756757,0.06756756756756756,0.6081081081081081,0.13513513513513511,0.9797297297297297,0.6418918918918919,0.03378378378378378,31.283783783783782,0.8108108108108107,3.3108108108108105,13.614864864864865,14.83108108108108,3.2770270270270268,31.283783783783782,1.689189189189189,0.9459459459459459,1.8918918918918919,0.7432432432432432,1.4864864864864864,17.43243243243243,78.91891891891892,30.405405405405403,0.9459459459459459,0.43918918918918914,2.972972972972973,1.4864864864864864,24.087837837837835,0.0,1.0135135135135134,1.8581081081081081,0.6418918918918919,0.0,0.0,0.0,2.8378378378378377,1.7905405405405403,4.493243243243243,0.9628378378378378,35.37,1,0,0
3,Tosin Adarabioyo,eng ENG,Fulham,22,1997,33.0,33.0,"2,953",32.8,0.0,0.0,0.030487804878048783,0.0,0.15243902439024393,2.2865853658536586,0.09146341463414635,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,0.8475609756097562,0.55,0.15,0.0,0.0,0.3201219512195122,0.0,0.001829268292682927,-0.03353658536585367,-0.03353658536585367,50.213414634146346,58.47560975609757,2.6189024390243905,1013.8719512195123,385.6707317073171,14.756097560975611,16.79878048780488,2.676829268292683,28.932926829268297,30.731707317073173,2.8689024390243905,5.975609756097562,9.695121951219512,1.878048780487805,0.012195121951219514,-0.009146341463414635,0.15243902439024393,2.164634146341464,0.15243902439024393,0.0,57.07317073170732,1.2804878048780488,1.0670731707317074,0.0,0.24390243902439027,0.06097560975609757,0.2134146341463415,0.0,0.0,0.0,0.0,0.12195121951219513,0.3353658536585366,0.55,0.5487804878048781,0.0,0.0,0.0,0.0,0.0,0.03,0.030487804878048783,0.0,0.0,0.0,0.0,0.0,1.128048780487805,0.5792682926829269,0.9146341463414634,0.1829268292682927,0.030487804878048783,0.5792682926829269,1.2195121951219514,1.4481707317073171,0.6402439024390244,0.7926829268292683,0.6097560975609757,0.1829268292682927,1.2804878048780488,2.408536585365854,6.00609756097561,0.06097560975609757,69.26829268292684,12.134146341463415,39.93902439024391,27.439024390243905,2.0426829268292686,1.0670731707317074,69.26829268292684,0.426829268292683,0.3353658536585366,2.3963414634146343,0.09146341463414635,0.6524390243902439,40.76219512195122,178.1707317073171,95.48780487804879,0.15243902439024393,0.0,0.3658536585365854,0.15243902439024393,46.40243902439025,0.0,0.48780487804878053,0.1829268292682927,0.06097560975609757,0.0,0.030487804878048783,0.030487804878048783,4.359756097560976,2.5,1.1585365853658538,2.082317073170732,35.37,0,0,1
4,Adrián,es ESP,Liverpool,33,1987,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,33.333333333333336,26.0,598.6666666666666,379.3333333333333,8.0,8.0,33.333333333333336,11.0,11.333333333333334,32.36666666666667,6.666666666666667,13.333333333333334,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,9.666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,36.666666666666664,33.0,36.666666666666664,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,0.0,0.0,17.333333333333332,86.33333333333333,26.333333333333332,0.0,0.0,0.0,0.0,15.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,33.333333333333336,182.0,0,0,0
5,Sergio Agüero,ar ARG,Manchester City,32,1988,12.0,7.0,559.0,6.2,0.16129032258064516,0.3225806451612903,0.0,0.0,1.9354838709677418,1.9354838709677418,6.290322580645161,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.5,Matches,9.483870967741934,2.74,1.61,0.029032258064516127,0.04838709677419355,2.354838709677419,0.0,0.017741935483870968,0.08064516129032258,0.1774193548387097,22.58064516129032,27.903225806451612,13.048387096774194,262.09677419354836,35.32258064516129,13.870967741935484,15.96774193548387,14.016129032258066,5.483870967741935,6.129032258064516,14.435483870967742,0.3225806451612903,0.3225806451612903,16.129032258064516,0.14516129032258066,-0.03225806451612903,1.129032258064516,1.9354838709677418,0.8064516129032258,0.16129032258064516,26.29032258064516,1.6129032258064515,0.0,0.0,0.0,0.16129032258064516,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,1.129032258064516,2.9,2.096774193548387,0.0,0.48387096774193544,0.16129032258064516,0.0,0.16129032258064516,0.48,0.3225806451612903,0.0,0.16129032258064516,0.0,0.0,0.0,0.6451612903225806,0.16129032258064516,0.0,0.3225806451612903,0.3225806451612903,0.3225806451612903,1.7741935483870968,2.9354838709677415,1.4516129032258065,0.3225806451612903,0.0,0.3225806451612903,0.3225806451612903,0.9677419354838709,0.0,0.0,37.74193548387097,0.0,0.8064516129032258,15.96774193548387,21.129032258064516,7.258064516129032,37.41935483870968,2.096774193548387,1.2903225806451613,9.919354838709678,0.8064516129032258,6.209677419354839,25.0,124.03225806451613,53.225806451612904,1.6129032258064515,0.48387096774193544,2.4193548387096775,1.7741935483870968,30.806451612903224,0.0,0.3225806451612903,1.129032258064516,0.16129032258064516,0.0,0.0,0.0,1.9354838709677418,0.3225806451612903,0.6451612903225806,5.370967741935483,210.0,1,0,0
6,Ola Aina,ng NGA,Fulham,23,1996,31.0,31.0,"2,664",29.6,0.0,0.0,0.10135135135135134,0.0,2.128378378378378,3.5810810810810807,1.689189189189189,0.07,0.03,0.1,0.07,0.1,0.04,0.05,0.09,0.04,0.09,Matches,0.9662162162162162,0.47,0.14,0.00472972972972973,0.01689189189189189,0.8310810810810811,0.03378378378378378,0.0030405405405405403,0.02702702702702703,0.02702702702702703,45.67567567567567,59.76351351351351,2.581081081081081,770.1689189189188,309.4256756756757,21.68918918918919,24.222972972972972,3.0236486486486487,19.08783783783784,23.783783783783782,2.7128378378378377,3.7837837837837838,8.682432432432432,1.472972972972973,0.040540540540540536,-0.01689189189189189,0.5067567567567567,3.108108108108108,0.5067567567567567,0.30405405405405406,50.2027027027027,9.527027027027026,0.9459459459459459,0.0,0.43918918918918914,1.7567567567567566,8.58108108108108,0.0,0.0,0.0,0.0,0.03378378378378378,1.1486486486486487,0.91,0.777027027027027,0.10135135135135134,0.0,0.0,0.03378378378378378,0.0,0.14,0.13513513513513511,0.0,0.0,0.0,0.0,0.0,1.25,0.6756756756756757,0.7432432432432432,0.23648648648648649,0.27027027027027023,0.7094594594594594,1.4527027027027026,1.6486486486486485,0.7432432432432432,0.7432432432432432,0.2027027027027027,0.5405405405405405,1.5202702702702702,2.77027027027027,3.1756756756756754,0.06756756756756756,69.32432432432432,3.547297297297297,26.385135135135133,32.33108108108108,11.148648648648647,0.5743243243243243,69.32432432432432,1.114864864864865,0.7094594594594594,2.1486486486486487,0.4054054054054054,1.2297297297297296,36.148648648648646,189.02027027027026,102.16216216216216,1.3513513513513513,0.16891891891891891,0.9121621621621622,0.33783783783783783,42.36486486486486,0.0,1.081081081081081,0.8445945945945945,0.06756756756756756,0.0,0.0,0.0,4.966216216216216,1.0472972972972971,1.2162162162162162,1.564189189189189,35.37,0,0,1
7,Rayan Aït-Nouri,dz ALG,Wolves,19,2001,21.0,16.0,"1,404",15.6,0.0,0.0,0.06410256410256411,0.0,3.0128205128205128,3.4615384615384617,5.448717948717949,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08,Matches,2.5641025641025643,0.96,0.38,0.004487179487179488,0.010897435897435899,1.2692307692307694,0.0,0.002564102564102564,0.025641025641025644,0.025641025641025644,42.43589743589744,51.6025641025641,5.269230769230769,630.0,170.76923076923077,23.205128205128204,25.128205128205128,5.916666666666667,15.897435897435898,18.974358974358974,5.371794871794871,1.6025641025641026,3.6538461538461537,2.814102564102564,0.05128205128205129,0.025641025641025644,0.8974358974358975,2.2435897435897436,1.0256410256410258,0.38461538461538464,43.269230769230774,8.26923076923077,0.38461538461538464,0.0,0.19230769230769232,3.91025641025641,7.435897435897436,0.44871794871794873,0.06410256410256411,0.38461538461538464,0.0,0.06410256410256411,1.2820512820512822,2.05,1.3461538461538463,0.25641025641025644,0.38461538461538464,0.0,0.06410256410256411,0.0,0.06,0.06410256410256411,0.0,0.0,0.0,0.0,0.0,1.858974358974359,1.0256410256410258,1.153846153846154,0.6410256410256411,0.06410256410256411,0.8333333333333334,1.7307692307692308,3.0833333333333335,0.8974358974358975,0.8974358974358975,0.06410256410256411,0.8333333333333334,0.9615384615384616,2.8205128205128207,1.6025641025641026,0.0,63.84615384615385,2.6923076923076925,17.115384615384617,27.564102564102566,19.807692307692307,1.6666666666666667,63.84615384615385,3.4615384615384617,1.6666666666666667,3.0833333333333335,1.794871794871795,3.326923076923077,36.73076923076923,189.67948717948718,109.1025641025641,2.1794871794871797,0.576923076923077,1.9230769230769231,1.217948717948718,39.871794871794876,0.0,0.9615384615384616,1.217948717948718,0.06410256410256411,0.0,0.06410256410256411,0.0,5.512820512820513,0.32051282051282054,1.4743589743589745,1.1474358974358974,35.37,0,0,1
8,Semi Ajayi,ng NGA,West Brom,26,1993,33.0,31.0,"2,780",30.9,0.0,0.0,0.0970873786407767,0.03236245954692557,0.42071197411003236,2.3624595469255665,0.22653721682847897,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches,0.9967637540453075,0.42,0.13,0.004854368932038835,0.016181229773462785,0.3171521035598706,0.0,0.004854368932038835,0.003236245954692557,0.003236245954692557,23.268608414239484,32.33009708737864,2.330097087378641,451.16504854368935,207.15210355987057,8.54368932038835,10.22653721682848,2.7022653721682848,12.103559870550162,14.88673139158576,2.6310679611650487,2.459546925566343,6.084142394822007,1.307443365695793,0.00970873786407767,-0.016181229773462785,0.22653721682847897,2.2006472491909386,0.12944983818770228,0.0,30.129449838187703,1.9741100323624596,0.42071197411003236,0.0,0.3236245954692557,0.22653721682847897,1.5533980582524272,0.0,0.0,0.0,0.0,0.22653721682847897,0.22653721682847897,0.45,0.42071197411003236,0.0,0.03236245954692557,0.0,0.0,0.0,0.06,0.06472491909385114,0.0,0.0,0.0,0.0,0.0,1.2944983818770228,0.45307443365695793,1.1003236245954693,0.1941747572815534,0.0,0.7443365695792881,1.3268608414239482,1.8155339805825244,0.5825242718446603,1.650485436893204,1.0355987055016183,0.6148867313915858,1.3592233009708738,2.6537216828478964,3.9482200647249193,0.06472491909385114,42.88025889967638,7.216828478964402,22.362459546925567,18.09061488673139,2.783171521035599,1.3915857605177995,42.88025889967638,0.5825242718446603,0.3236245954692557,1.7993527508090617,0.25889967637540456,1.4368932038834952,17.346278317152105,100.2588996763754,49.7411003236246,0.3236245954692557,0.06472491909385114,0.7766990291262136,0.16181229773462785,21.10032362459547,0.0,0.9061488673139159,0.12944983818770228,0.03236245954692557,0.0,0.06472491909385114,0.0,5.210355987055016,2.394822006472492,1.7475728155339807,1.8705501618122977,35.37,0,0,1
9,Nathan Aké,nl NED,Manchester City,25,1995,10.0,9.0,797.0,8.9,0.0,0.0,0.449438202247191,0.0,1.348314606741573,5.842696629213483,0.6741573033707865,0.11,0.0,0.11,0.11,0.11,0.03,0.0,0.03,0.03,0.03,Matches,3.7415730337078648,0.34,0.11,0.03707865168539326,0.11235955056179775,1.7415730337078652,0.0,0.010112359550561797,0.07865168539325842,0.07865168539325842,79.6629213483146,85.73033707865169,10.438202247191011,1255.9550561797753,362.35955056179773,39.10112359550562,40.78651685393258,10.775280898876405,35.842696629213485,37.752808988764045,10.662921348314606,2.9213483146067416,3.932584269662921,8.348314606741573,0.02247191011235955,0.0,0.11235955056179775,6.179775280898876,0.2247191011235955,0.0,83.25842696629213,2.4719101123595504,1.2359550561797752,0.0,0.0,0.11235955056179775,1.2359550561797752,0.0,0.0,0.0,0.0,0.0,0.5617977528089887,0.56,0.449438202247191,0.0,0.0,0.0,0.11235955056179775,0.0,0.11,0.11235955056179775,0.0,0.0,0.0,0.0,0.0,1.1235955056179774,0.5617977528089887,0.33707865168539325,0.6741573033707865,0.11235955056179775,0.33707865168539325,0.449438202247191,8.42696629213483,0.11235955056179775,0.2247191011235955,0.11235955056179775,0.11235955056179775,1.0112359550561798,2.134831460674157,2.5842696629213484,0.0,92.02247191011236,4.4943820224719095,20.44943820224719,64.04494382022472,7.528089887640449,0.6741573033707865,92.02247191011236,0.11235955056179775,0.0,0.0,0.11235955056179775,11.235955056179774,63.93258426966292,308.76404494382024,188.53932584269663,2.4719101123595504,0.0,0.2247191011235955,0.11235955056179775,73.93258426966293,0.0,0.898876404494382,0.449438202247191,0.0,0.0,0.11235955056179775,0.0,3.3707865168539324,2.696629213483146,1.9101123595505618,6.573033707865168,210.0,0,0,1
