,player,nationality,team,age,birth_year,games,games_starts,minutes,minutes_90s,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,progressive_carries_per90,progressive_passes_per90,progressive_passes_received_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots_on_target_pct_per90,shots_per90,shots_on_target_per90,goals_per_shot_per90,goals_per_shot_on_target_per90,average_shot_distance_per90,shots_free_kicks_per90,npxg_per_shot_per90,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,team_score,position_fw,position_mf,position_df
0,Brenden Aaronson,us USA,Leeds United,25,2000,10.0,7.0,638.0,7.1,0.0,0.0,0.14084507042253522,0.0,2.3943661971830985,2.8169014084507045,5.070422535211268,0.14,0.0,0.14,0.14,0.14,0.23,0.17,0.4,0.23,0.4,Matches,5.873239436619719,1.69,0.71,0.011267605633802818,0.028169014084507046,2.0,0.0,0.01971830985915493,-0.08450704225352113,-0.08450704225352113,20.281690140845072,25.211267605633804,11.323943661971832,284.3661971830986,63.521126760563384,11.408450704225352,13.098591549295776,12.267605633802816,7.887323943661972,9.577464788732394,11.605633802816902,0.14084507042253522,0.8450704225352114,2.352112676056338,0.19718309859154928,-0.16901408450704225,1.4084507042253522,1.5492957746478875,1.267605633802817,0.5633802816901409,22.816901408450704,2.1126760563380285,0.28169014084507044,0.28169014084507044,0.0,1.8309859154929577,0.7042253521126761,0.0,0.0,0.0,0.0,0.28169014084507044,0.4225352112676057,3.1,1.971830985915493,0.0,0.28169014084507044,0.5633802816901409,0.14084507042253522,0.14084507042253522,0.42,0.14084507042253522,0.0,0.0,0.28169014084507044,0.0,0.0,2.3943661971830985,1.267605633802817,0.9859154929577465,0.9859154929577465,0.4225352112676057,1.5492957746478875,3.098591549295775,7.042253521126761,1.5492957746478875,1.8309859154929577,0.0,1.8309859154929577,0.9859154929577465,3.3802816901408455,1.4084507042253522,0.0,40.28169014084507,0.8450704225352114,7.183098591549296,16.901408450704228,16.901408450704228,2.535211267605634,40.28169014084507,2.3943661971830985,1.1267605633802817,6.633802816901409,0.9859154929577465,5.802816901408451,21.83098591549296,143.80281690140845,70.14084507042254,1.267605633802817,0.28169014084507044,2.9577464788732395,2.2535211267605635,24.084507042253524,0.0,0.5633802816901409,2.3943661971830985,0.14084507042253522,0.0,0.0,0.0,3.6619718309859155,0.5633802816901409,1.1267605633802817,4.690140845070422,12.765,1,1,0
1,Joshua Acheampong,eng ENG,Chelsea,19,2006,5.0,4.0,349.0,3.9,0.0,0.0,0.0,0.0,1.0256410256410258,2.8205128205128207,0.0,0.26,0.0,0.26,0.26,0.26,0.16,0.0,0.16,0.16,0.16,Matches,17.102564102564102,0.77,0.52,0.08461538461538462,0.12820512820512822,2.076923076923077,0.0,0.05128205128205129,0.10256410256410257,0.10256410256410257,70.0,75.8974358974359,23.641025641025642,1176.4102564102564,267.6923076923077,31.28205128205128,33.333333333333336,24.05128205128205,36.666666666666664,37.69230769230769,24.94871794871795,1.5384615384615385,3.8461538461538463,10.256410256410257,0.0,0.0,0.0,2.0512820512820515,0.0,0.0,72.82051282051282,3.076923076923077,1.794871794871795,0.0,0.0,0.0,0.25641025641025644,0.0,0.0,0.0,0.0,0.0,0.5128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128205128205129,0.5128205128205129,0.25641025641025644,0.25641025641025644,0.0,0.25641025641025644,0.5128205128205129,12.820512820512821,0.25641025641025644,1.5384615384615385,0.5128205128205129,1.0256410256410258,1.794871794871795,2.307692307692308,3.3333333333333335,1.0256410256410258,84.61538461538461,7.17948717948718,34.1025641025641,45.8974358974359,5.384615384615385,1.0256410256410258,84.61538461538461,2.307692307692308,2.0512820512820515,22.794871794871796,0.0,0.0,61.794871794871796,295.12820512820514,159.4871794871795,1.2820512820512822,0.0,0.0,0.7692307692307693,65.38461538461539,0.0,0.25641025641025644,1.2820512820512822,0.0,0.0,0.0,0.0,4.102564102564103,2.307692307692308,0.7692307692307693,19.23076923076923,187.0,0,0,1
2,Tyler Adams,us USA,Bournemouth,26,1999,10.0,10.0,862.0,9.6,0.0,0.0,0.4166666666666667,0.0,0.5208333333333334,4.166666666666667,0.625,0.1,0.1,0.21,0.1,0.21,0.04,0.01,0.05,0.04,0.05,Matches,7.437500000000001,0.73,0.52,0.014583333333333335,0.020833333333333336,2.0937500000000004,0.0,0.00625,0.0625,0.0625,43.75,51.35416666666667,8.875,736.0416666666667,180.0,18.75,21.145833333333336,9.239583333333334,22.083333333333336,24.270833333333336,9.479166666666668,2.1875,3.6458333333333335,6.25,0.020833333333333336,0.09375,0.20833333333333334,4.0625,0.0,0.0,49.583333333333336,1.7708333333333335,1.6666666666666667,0.10416666666666667,0.20833333333333334,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.9375,0.94,0.8333333333333334,0.0,0.0,0.0,0.0,0.10416666666666667,0.31,0.20833333333333334,0.0,0.0,0.0,0.0,0.10416666666666667,3.0208333333333335,1.4583333333333335,1.3541666666666667,1.25,0.4166666666666667,1.875,2.8125,6.947916666666667,0.9375,1.6666666666666667,0.4166666666666667,1.25,1.7708333333333335,4.791666666666667,1.9791666666666667,0.0,63.333333333333336,3.854166666666667,17.8125,37.395833333333336,8.854166666666668,0.5208333333333334,63.333333333333336,0.7291666666666667,0.3125,4.46875,0.3125,4.46875,32.29166666666667,141.25,65.41666666666667,1.0416666666666667,0.0,0.9375,0.5208333333333334,35.625,0.0,1.3541666666666667,0.8333333333333334,0.10416666666666667,0.0,0.0,0.0,5.208333333333334,0.625,1.25,3.46875,0.0,0,1,0
3,Tosin Adarabioyo,eng ENG,Chelsea,28,1997,7.0,3.0,381.0,4.2,0.0,0.0,0.23809523809523808,0.0,0.47619047619047616,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,0.0,0.24,0.0,0.0,0.0,1.5,0.0,0.009523809523809523,0.0,0.0,77.38095238095238,86.42857142857143,21.30952380952381,1415.7142857142856,504.5238095238095,25.476190476190474,27.38095238095238,22.142857142857142,47.38095238095238,50.714285714285715,22.238095238095237,4.0476190476190474,6.904761904761904,13.952380952380953,0.023809523809523808,0.0,0.0,4.0476190476190474,0.23809523809523808,0.0,81.19047619047619,4.761904761904762,1.9047619047619047,0.0,0.23809523809523808,0.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.7142857142857143,0.9523809523809523,0.47619047619047616,0.0,0.23809523809523808,0.47619047619047616,11.904761904761905,0.23809523809523808,0.7142857142857143,0.47619047619047616,0.23809523809523808,1.1904761904761905,2.619047619047619,6.19047619047619,0.0,96.42857142857143,13.095238095238095,48.095238095238095,46.666666666666664,1.6666666666666665,0.47619047619047616,96.42857142857143,0.0,0.0,0.0,0.0,0.0,49.52380952380952,214.04761904761904,130.71428571428572,0.23809523809523808,0.0,0.23809523809523808,0.0,66.9047619047619,0.0,0.7142857142857143,0.0,0.23809523809523808,0.0,0.0,0.0,3.333333333333333,4.523809523809524,2.619047619047619,15.07142857142857,187.0,0,0,1
4,Simon Adingra,ci CIV,Sunderland,23,2002,6.0,4.0,273.0,3.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.6666666666666666,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.24,0.05,0.24,Matches,0.0,0.33,0.0,0.0,0.0,4.666666666666667,0.0,0.04666666666666667,-0.03333333333333333,-0.03333333333333333,16.0,23.0,23.2,267.6666666666667,31.333333333333332,7.333333333333333,9.333333333333334,26.2,6.666666666666667,7.333333333333333,30.3,1.0,2.3333333333333335,14.299999999999999,0.06666666666666667,-0.19999999999999998,1.6666666666666667,0.0,1.3333333333333333,0.6666666666666666,22.666666666666668,0.3333333333333333,0.0,0.3333333333333333,0.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.0,2.64,2.3333333333333335,0.0,0.3333333333333333,0.0,0.0,0.0,0.33,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,22.233333333333334,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,0.0,34.333333333333336,1.0,4.333333333333333,11.666666666666666,18.333333333333332,1.0,34.333333333333336,3.0,1.3333333333333333,14.799999999999999,1.3333333333333333,14.799999999999999,24.333333333333332,136.66666666666666,67.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,25.666666666666668,0.0,1.6666666666666667,1.0,1.0,0.0,0.0,0.0,2.3333333333333335,1.0,1.6666666666666667,12.5,0.0,1,0,0
5,Amine Adli,ma MAR,Bournemouth,25,2000,7.0,1.0,189.0,2.1,0.0,0.0,0.0,0.0,2.380952380952381,2.380952380952381,9.047619047619047,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,47.61904761904762,0.95,0.95,0.0,0.0,11.285714285714285,0.47619047619047616,0.023809523809523808,-0.047619047619047616,-0.047619047619047616,27.619047619047617,39.047619047619044,33.666666666666664,392.38095238095235,88.57142857142857,17.142857142857142,20.476190476190474,39.857142857142854,8.095238095238095,10.476190476190476,36.8095238095238,1.4285714285714286,2.857142857142857,23.80952380952381,0.047619047619047616,-0.09523809523809523,1.9047619047619047,0.9523809523809523,0.47619047619047616,0.0,35.714285714285715,3.333333333333333,0.0,0.47619047619047616,0.47619047619047616,3.333333333333333,1.9047619047619047,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,2.380952380952381,3.83,2.380952380952381,0.0,0.47619047619047616,0.0,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.238095238095238,1.4285714285714286,1.9047619047619047,1.9047619047619047,1.4285714285714286,3.333333333333333,4.285714285714286,37.047619047619044,0.9523809523809523,2.380952380952381,0.47619047619047616,1.9047619047619047,0.9523809523809523,6.19047619047619,2.380952380952381,0.0,57.61904761904761,0.9523809523809523,12.857142857142856,20.476190476190474,25.71428571428571,2.857142857142857,57.61904761904761,3.8095238095238093,1.4285714285714286,17.857142857142858,2.380952380952381,29.76190476190476,30.476190476190474,178.57142857142856,109.52380952380952,1.9047619047619047,0.0,1.9047619047619047,0.9523809523809523,30.952380952380953,0.0,2.380952380952381,2.857142857142857,0.9523809523809523,0.0,0.0,0.0,7.619047619047619,1.9047619047619047,2.380952380952381,21.142857142857142,0.0,1,1,0
6,Emmanuel Agbadou,ci CIV,Wolves,28,1997,8.0,6.0,561.0,6.2,0.0,0.0,0.0,0.16129032258064516,0.48387096774193544,4.193548387096774,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,5.370967741935483,0.96,0.32,0.0,0.0,3.564516129032258,0.16129032258064516,0.009677419354838708,-0.06451612903225806,-0.06451612903225806,49.03225806451613,61.774193548387096,12.806451612903226,1108.5483870967741,435.0,12.096774193548386,13.548387096774194,14.403225806451612,29.516129032258064,32.90322580645161,14.467741935483872,7.096774193548387,14.354838709677418,7.96774193548387,0.04838709677419355,-0.016129032258064516,0.3225806451612903,6.129032258064516,0.8064516129032258,0.3225806451612903,57.58064516129032,4.032258064516129,2.258064516129032,0.16129032258064516,0.6451612903225806,1.2903225806451613,1.6129032258064515,0.0,0.0,0.0,0.0,0.16129032258064516,0.6451612903225806,1.12,1.129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4193548387096775,1.4516129032258065,1.2903225806451613,0.9677419354838709,0.16129032258064516,1.4516129032258065,2.096774193548387,11.161290322580646,0.6451612903225806,1.7741935483870968,1.6129032258064515,0.16129032258064516,0.8064516129032258,3.225806451612903,5.967741935483871,0.3225806451612903,74.6774193548387,10.0,35.0,34.83870967741935,5.32258064516129,0.8064516129032258,74.6774193548387,0.16129032258064516,0.16129032258064516,16.129032258064516,0.0,0.0,41.774193548387096,205.64516129032256,94.51612903225806,1.129032258064516,0.0,1.129032258064516,0.3225806451612903,49.516129032258064,0.0,1.129032258064516,0.48387096774193544,0.0,0.0,0.0,0.0,5.0,2.5806451612903225,1.2903225806451613,10.758064516129032,40.914,0,0,1
7,Nayef Aguerd,ma MAR,West Ham,29,1996,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,0.0,1.0,0.0,0.0,0.0,4.95,0.0,0.025,-0.05,-0.05,53.0,59.5,44.55,865.5,331.5,26.0,26.5,49.05,23.5,24.5,47.95,2.5,6.5,19.25,0.0,0.0,0.0,6.0,0.0,0.0,56.5,3.0,1.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,1.0,5.5,0.0,71.5,7.0,31.0,36.0,4.5,1.0,71.5,0.5,0.5,50.0,0.0,0.0,35.5,202.5,111.0,1.0,0.0,0.5,0.0,46.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,2.0,1.5,28.55,70.5,0,0,1
8,Ola Aina,ng NGA,Nott'ham Forest,29,1996,3.0,3.0,270.0,3.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,3.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,0.0,0.67,0.0,0.0,0.0,8.200000000000001,0.0,0.006666666666666667,0.0,0.0,41.666666666666664,52.333333333333336,26.53333333333333,720.3333333333334,320.6666666666667,19.333333333333332,19.666666666666668,32.766666666666666,18.666666666666668,23.333333333333332,26.666666666666668,3.0,7.0,14.299999999999999,0.09999999999999999,-0.03333333333333333,0.6666666666666666,4.333333333333333,0.6666666666666666,0.3333333333333333,43.666666666666664,8.666666666666666,1.6666666666666667,0.0,0.3333333333333333,4.333333333333333,6.666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,0.33,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,33.333333333333336,0.0,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,3.6666666666666665,4.666666666666667,0.0,67.66666666666667,4.333333333333333,23.333333333333332,25.0,20.666666666666668,1.0,67.66666666666667,3.6666666666666665,1.0,9.1,2.6666666666666665,24.233333333333334,27.333333333333332,120.66666666666667,70.66666666666667,1.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,36.0,0.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,6.666666666666667,1.3333333333333333,0.6666666666666666,22.233333333333334,40.914,0,0,1
9,Rayan Aït-Nouri,dz ALG,Manchester City,24,2001,4.0,3.0,203.0,2.3,0.0,0.0,0.4347826086956522,0.0,3.0434782608695654,3.0434782608695654,3.4782608695652177,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches,0.0,0.89,0.0,0.0,0.0,10.82608695652174,0.0,0.008695652173913044,0.0,0.0,47.39130434782609,54.34782608695652,37.913043478260875,685.2173913043479,167.82608695652175,29.1304347826087,32.173913043478265,39.34782608695652,17.39130434782609,17.826086956521742,42.434782608695656,0.8695652173913044,2.173913043478261,17.39130434782609,0.2173913043478261,-0.08695652173913045,0.8695652173913044,2.608695652173913,0.0,0.0,45.21739130434783,9.130434782608697,0.8695652173913044,0.0,0.0,0.8695652173913044,8.260869565217392,0.0,0.0,0.0,0.0,0.0,2.608695652173913,1.77,1.7391304347826089,0.0,0.0,0.0,0.0,0.0,0.44,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,3.91304347826087,2.608695652173913,3.0434782608695654,0.8695652173913044,0.0,1.3043478260869565,3.0434782608695654,18.65217391304348,1.7391304347826089,1.7391304347826089,0.0,1.7391304347826089,2.173913043478261,6.086956521739131,3.91304347826087,0.0,73.04347826086958,4.347826086956522,26.086956521739133,28.695652173913047,18.260869565217394,0.8695652173913044,73.04347826086958,3.0434782608695654,0.8695652173913044,12.434782608695654,2.173913043478261,31.04347826086957,34.34782608695652,184.7826086956522,75.65217391304348,0.8695652173913044,0.0,1.7391304347826089,0.8695652173913044,42.608695652173914,0.0,1.7391304347826089,0.4347826086956522,0.0,0.0,0.0,0.0,3.4782608695652177,1.3043478260869565,0.8695652173913044,26.086956521739133,243.25,0,0,1
